"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 31 2023 15:05:00 GMT+0530 (India Standard Time)","42.55","42.70","38.45","40.90","39.74"
"Wed May 31 2023 15:06:00 GMT+0530 (India Standard Time)","40.80","41.60","37.45","38.90","37.31"
"Wed May 31 2023 15:07:00 GMT+0530 (India Standard Time)","39.05","46.30","38.85","43.20","45.09"
"Wed May 31 2023 15:08:00 GMT+0530 (India Standard Time)","43.45","45.50","42.30","43.45","45.52"
"Wed May 31 2023 15:09:00 GMT+0530 (India Standard Time)","44.00","46.10","42.85","45.00","48.19"
"Wed May 31 2023 15:10:00 GMT+0530 (India Standard Time)","44.85","46.65","44.70","46.25","50.30"
"Wed May 31 2023 15:11:00 GMT+0530 (India Standard Time)","46.70","46.80","43.65","46.35","50.47"
"Wed May 31 2023 15:12:00 GMT+0530 (India Standard Time)","46.10","48.50","45.95","47.90","53.21"
"Wed May 31 2023 15:13:00 GMT+0530 (India Standard Time)","47.90","48.15","44.20","44.50","47.07"
"Wed May 31 2023 15:14:00 GMT+0530 (India Standard Time)","44.25","45.30","42.00","42.65","44.09"
"Wed May 31 2023 15:15:00 GMT+0530 (India Standard Time)","43.45","46.40","42.75","46.20","50.56"
"Wed May 31 2023 15:16:00 GMT+0530 (India Standard Time)","46.05","46.25","44.70","46.10","50.38"
"Wed May 31 2023 15:17:00 GMT+0530 (India Standard Time)","45.90","46.60","44.90","46.60","51.30"
"Wed May 31 2023 15:18:00 GMT+0530 (India Standard Time)","46.85","48.00","46.60","47.15","52.34"
"Wed May 31 2023 15:19:00 GMT+0530 (India Standard Time)","47.60","52.10","47.15","51.90","60.27"
"Wed May 31 2023 15:20:00 GMT+0530 (India Standard Time)","52.30","54.30","50.50","50.60","57.45"
"Wed May 31 2023 15:21:00 GMT+0530 (India Standard Time)","50.95","51.00","48.10","48.95","54.00"
