"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue May 30 2023 14:15:00 GMT+0530 (India Standard Time)","31.35","32.85","30.75","31.75","41.15"
"Tue May 30 2023 14:20:00 GMT+0530 (India Standard Time)","31.60","32.20","27.80","28.10","35.25"
"Tue May 30 2023 14:25:00 GMT+0530 (India Standard Time)","28.55","31.40","28.15","31.00","42.32"
"Tue May 30 2023 14:30:00 GMT+0530 (India Standard Time)","31.00","32.65","24.55","24.60","33.60"
"Tue May 30 2023 14:35:00 GMT+0530 (India Standard Time)","24.75","26.15","24.05","25.30","35.17"
"Tue May 30 2023 14:40:00 GMT+0530 (India Standard Time)","25.35","25.80","24.45","25.25","35.11"
"Tue May 30 2023 14:45:00 GMT+0530 (India Standard Time)","25.30","29.05","25.20","28.80","43.04"
"Tue May 30 2023 14:50:00 GMT+0530 (India Standard Time)","29.05","29.35","26.45","26.60","39.79"
"Tue May 30 2023 14:55:00 GMT+0530 (India Standard Time)","26.55","27.30","24.90","25.80","38.65"
"Tue May 30 2023 15:00:00 GMT+0530 (India Standard Time)","25.75","30.45","24.80","27.70","42.84"
"Tue May 30 2023 15:05:00 GMT+0530 (India Standard Time)","27.70","30.90","25.15","25.30","39.20"
"Tue May 30 2023 15:10:00 GMT+0530 (India Standard Time)","25.10","27.10","24.60","26.55","41.97"
"Tue May 30 2023 15:15:00 GMT+0530 (India Standard Time)","26.50","26.65","24.80","25.15","39.78"
"Tue May 30 2023 15:20:00 GMT+0530 (India Standard Time)","25.30","25.45","23.00","23.95","37.96"
"Tue May 30 2023 15:25:00 GMT+0530 (India Standard Time)","24.10","24.95","23.25","24.00","38.09"
"Wed May 31 2023 09:15:00 GMT+0530 (India Standard Time)","35.00","43.95","34.70","43.40","66.67"
"Wed May 31 2023 09:20:00 GMT+0530 (India Standard Time)","43.70","48.35","43.40","44.20","67.34"
"Wed May 31 2023 09:25:00 GMT+0530 (India Standard Time)","44.60","50.70","43.90","45.80","68.70"
"Wed May 31 2023 09:30:00 GMT+0530 (India Standard Time)","46.25","49.00","45.55","47.00","69.71"
"Wed May 31 2023 09:35:00 GMT+0530 (India Standard Time)","47.25","48.85","43.45","48.00","70.57"
"Wed May 31 2023 09:40:00 GMT+0530 (India Standard Time)","48.40","49.95","44.75","48.20","70.75"
"Wed May 31 2023 09:45:00 GMT+0530 (India Standard Time)","48.40","48.85","42.30","42.30","59.34"
"Wed May 31 2023 09:50:00 GMT+0530 (India Standard Time)","40.50","47.90","39.80","47.40","64.65"
"Wed May 31 2023 09:55:00 GMT+0530 (India Standard Time)","47.55","52.80","45.65","45.85","62.00"
"Wed May 31 2023 10:00:00 GMT+0530 (India Standard Time)","45.30","46.80","39.95","42.20","56.16"
"Wed May 31 2023 10:05:00 GMT+0530 (India Standard Time)","41.85","43.60","40.85","41.80","55.54"
"Wed May 31 2023 10:10:00 GMT+0530 (India Standard Time)","41.35","42.40","34.50","38.40","50.47"
"Wed May 31 2023 10:15:00 GMT+0530 (India Standard Time)","38.25","42.00","37.85","41.60","54.67"
"Wed May 31 2023 10:20:00 GMT+0530 (India Standard Time)","41.75","48.15","41.25","48.10","61.76"
"Wed May 31 2023 10:25:00 GMT+0530 (India Standard Time)","48.70","51.60","46.45","49.60","63.19"
"Wed May 31 2023 10:30:00 GMT+0530 (India Standard Time)","50.25","56.90","46.55","56.40","68.88"
"Wed May 31 2023 10:35:00 GMT+0530 (India Standard Time)","56.65","59.50","51.85","56.75","69.14"
"Wed May 31 2023 10:40:00 GMT+0530 (India Standard Time)","56.95","57.95","52.65","54.40","65.14"
"Wed May 31 2023 10:45:00 GMT+0530 (India Standard Time)","54.60","55.60","50.95","51.90","61.09"
"Wed May 31 2023 10:50:00 GMT+0530 (India Standard Time)","51.95","52.95","49.50","50.30","58.58"
"Wed May 31 2023 10:55:00 GMT+0530 (India Standard Time)","50.00","54.50","47.50","49.05","56.63"
"Wed May 31 2023 11:00:00 GMT+0530 (India Standard Time)","49.10","51.90","48.20","50.80","58.71"
"Wed May 31 2023 11:05:00 GMT+0530 (India Standard Time)","50.90","51.60","45.80","46.20","51.69"
"Wed May 31 2023 11:10:00 GMT+0530 (India Standard Time)","46.35","49.45","44.60","49.00","55.20"
"Wed May 31 2023 11:15:00 GMT+0530 (India Standard Time)","48.90","50.45","45.65","45.70","50.54"
"Wed May 31 2023 11:20:00 GMT+0530 (India Standard Time)","45.60","48.25","43.45","48.00","53.49"
"Wed May 31 2023 11:25:00 GMT+0530 (India Standard Time)","47.95","53.20","47.55","52.25","58.42"
"Wed May 31 2023 11:30:00 GMT+0530 (India Standard Time)","52.05","58.75","52.00","58.30","64.23"
"Wed May 31 2023 11:35:00 GMT+0530 (India Standard Time)","58.30","61.25","56.40","59.25","65.06"
"Wed May 31 2023 11:40:00 GMT+0530 (India Standard Time)","59.35","60.55","57.80","59.65","65.42"
"Wed May 31 2023 11:45:00 GMT+0530 (India Standard Time)","59.60","67.20","59.60","65.30","70.13"
"Wed May 31 2023 11:50:00 GMT+0530 (India Standard Time)","65.45","87.65","64.75","83.85","79.84"
"Wed May 31 2023 11:55:00 GMT+0530 (India Standard Time)","84.50","85.55","74.80","75.75","69.25"
"Wed May 31 2023 12:00:00 GMT+0530 (India Standard Time)","76.05","82.50","74.10","80.70","71.72"
"Wed May 31 2023 12:05:00 GMT+0530 (India Standard Time)","80.45","84.90","77.75","81.95","72.32"
"Wed May 31 2023 12:10:00 GMT+0530 (India Standard Time)","82.10","83.90","78.55","81.30","71.47"
"Wed May 31 2023 12:15:00 GMT+0530 (India Standard Time)","80.75","88.45","72.15","73.40","61.89"
"Wed May 31 2023 12:20:00 GMT+0530 (India Standard Time)","73.60","79.75","72.85","79.75","65.85"
"Wed May 31 2023 12:25:00 GMT+0530 (India Standard Time)","79.50","82.45","77.10","82.45","67.41"
"Wed May 31 2023 12:30:00 GMT+0530 (India Standard Time)","82.70","87.85","78.05","84.40","68.52"
"Wed May 31 2023 12:35:00 GMT+0530 (India Standard Time)","84.35","85.10","73.65","75.50","58.68"
"Wed May 31 2023 12:40:00 GMT+0530 (India Standard Time)","75.90","77.20","68.85","69.45","53.09"
"Wed May 31 2023 12:45:00 GMT+0530 (India Standard Time)","69.70","73.10","65.65","71.05","54.33"
"Wed May 31 2023 12:50:00 GMT+0530 (India Standard Time)","70.85","81.85","70.50","78.50","59.67"
"Wed May 31 2023 12:55:00 GMT+0530 (India Standard Time)","78.00","81.35","66.90","66.90","49.89"
"Wed May 31 2023 13:00:00 GMT+0530 (India Standard Time)","67.40","78.10","66.75","77.50","56.85"
"Wed May 31 2023 13:05:00 GMT+0530 (India Standard Time)","78.35","79.40","71.55","71.90","52.69"
