"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue May 30 2023 12:45:00 GMT+0530 (India Standard Time)","31.15","31.55","28.90","28.90","53.19"
"Tue May 30 2023 12:50:00 GMT+0530 (India Standard Time)","29.05","29.40","26.55","27.05","49.16"
"Tue May 30 2023 12:55:00 GMT+0530 (India Standard Time)","27.05","27.80","24.85","25.60","46.21"
"Tue May 30 2023 13:00:00 GMT+0530 (India Standard Time)","25.60","26.20","24.55","24.60","44.24"
"Tue May 30 2023 13:05:00 GMT+0530 (India Standard Time)","24.75","25.45","24.10","24.90","45.00"
"Tue May 30 2023 13:10:00 GMT+0530 (India Standard Time)","25.05","25.80","24.10","24.80","44.78"
"Tue May 30 2023 13:15:00 GMT+0530 (India Standard Time)","25.05","25.05","22.95","23.35","41.62"
"Tue May 30 2023 13:20:00 GMT+0530 (India Standard Time)","23.30","26.00","23.05","24.70","45.48"
"Tue May 30 2023 13:25:00 GMT+0530 (India Standard Time)","24.90","24.90","21.50","23.50","42.77"
"Tue May 30 2023 13:30:00 GMT+0530 (India Standard Time)","23.25","24.90","22.70","24.05","44.40"
"Tue May 30 2023 13:35:00 GMT+0530 (India Standard Time)","23.85","24.00","21.00","21.35","38.58"
"Tue May 30 2023 13:40:00 GMT+0530 (India Standard Time)","21.10","23.60","20.95","22.35","41.63"
"Tue May 30 2023 13:45:00 GMT+0530 (India Standard Time)","22.25","23.65","21.90","23.05","43.74"
"Tue May 30 2023 13:50:00 GMT+0530 (India Standard Time)","23.05","23.45","21.35","22.15","41.66"
"Tue May 30 2023 13:55:00 GMT+0530 (India Standard Time)","22.05","23.90","21.90","23.40","45.54"
"Tue May 30 2023 14:00:00 GMT+0530 (India Standard Time)","23.40","24.35","20.90","22.10","42.38"
"Tue May 30 2023 14:05:00 GMT+0530 (India Standard Time)","21.85","22.10","20.45","21.10","40.08"
"Tue May 30 2023 14:10:00 GMT+0530 (India Standard Time)","21.05","21.70","20.55","21.05","39.97"
