"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue May 30 2023 14:45:00 GMT+0530 (India Standard Time)","88.50","88.65","79.15","80.75","52.14"
"Tue May 30 2023 14:50:00 GMT+0530 (India Standard Time)","80.30","86.00","79.65","83.60","54.81"
"Tue May 30 2023 14:55:00 GMT+0530 (India Standard Time)","83.90","86.00","81.75","84.90","56.02"
"Tue May 30 2023 15:00:00 GMT+0530 (India Standard Time)","85.00","87.50","72.70","78.85","49.41"
"Tue May 30 2023 15:05:00 GMT+0530 (India Standard Time)","79.15","84.75","73.40","84.20","54.52"
"Tue May 30 2023 15:10:00 GMT+0530 (India Standard Time)","84.80","87.85","81.15","82.05","52.24"
"Tue May 30 2023 15:15:00 GMT+0530 (India Standard Time)","82.50","84.80","81.55","82.05","52.24"
"Tue May 30 2023 15:20:00 GMT+0530 (India Standard Time)","82.55","85.90","81.40","85.55","55.74"
"Tue May 30 2023 15:25:00 GMT+0530 (India Standard Time)","85.25","87.00","85.00","86.00","56.18"
"Wed May 31 2023 09:15:00 GMT+0530 (India Standard Time)","62.00","62.00","41.85","42.35","27.41"
"Wed May 31 2023 09:20:00 GMT+0530 (India Standard Time)","41.65","42.35","36.05","40.15","26.67"
"Wed May 31 2023 09:25:00 GMT+0530 (India Standard Time)","39.75","41.80","34.75","38.60","26.14"
"Wed May 31 2023 09:30:00 GMT+0530 (India Standard Time)","38.20","39.00","35.40","38.10","25.95"
"Wed May 31 2023 09:35:00 GMT+0530 (India Standard Time)","38.05","41.20","36.20","38.05","25.94"
"Wed May 31 2023 09:40:00 GMT+0530 (India Standard Time)","37.55","38.75","33.45","36.75","25.40"
"Wed May 31 2023 09:45:00 GMT+0530 (India Standard Time)","36.60","40.00","35.35","39.85","29.13"
"Wed May 31 2023 09:50:00 GMT+0530 (India Standard Time)","41.30","42.30","35.05","36.00","27.31"
"Wed May 31 2023 09:55:00 GMT+0530 (India Standard Time)","35.80","37.00","32.00","36.90","28.43"
"Wed May 31 2023 10:00:00 GMT+0530 (India Standard Time)","36.80","41.20","36.30","39.90","32.21"
"Wed May 31 2023 10:05:00 GMT+0530 (India Standard Time)","40.05","41.00","38.50","39.50","31.97"
"Wed May 31 2023 10:10:00 GMT+0530 (India Standard Time)","39.55","45.95","38.60","42.45","35.80"
"Wed May 31 2023 10:15:00 GMT+0530 (India Standard Time)","42.40","43.15","38.75","39.15","33.53"
"Wed May 31 2023 10:20:00 GMT+0530 (India Standard Time)","39.20","39.75","34.25","34.40","30.52"
"Wed May 31 2023 10:25:00 GMT+0530 (India Standard Time)","34.10","35.00","32.30","33.30","29.85"
"Wed May 31 2023 10:30:00 GMT+0530 (India Standard Time)","33.15","34.55","28.35","28.65","27.15"
"Wed May 31 2023 10:35:00 GMT+0530 (India Standard Time)","28.70","30.85","27.75","29.05","27.75"
"Wed May 31 2023 10:40:00 GMT+0530 (India Standard Time)","28.90","30.90","28.35","29.80","28.95"
