"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue May 30 2023 14:50:00 GMT+0530 (India Standard Time)","18633.50","18643.85","18630.80","18633.20","56.10"
"Tue May 30 2023 14:55:00 GMT+0530 (India Standard Time)","18633.10","18636.90","18631.00","18634.05","56.61"
"Tue May 30 2023 15:00:00 GMT+0530 (India Standard Time)","18634.00","18636.50","18621.80","18629.55","53.10"
"Tue May 30 2023 15:05:00 GMT+0530 (India Standard Time)","18628.30","18639.50","18617.10","18639.50","59.14"
"Tue May 30 2023 15:10:00 GMT+0530 (India Standard Time)","18639.35","18643.50","18632.80","18633.50","54.57"
"Tue May 30 2023 15:15:00 GMT+0530 (India Standard Time)","18634.15","18637.05","18631.60","18631.60","53.17"
"Tue May 30 2023 15:20:00 GMT+0530 (India Standard Time)","18631.30","18645.30","18630.75","18643.80","60.23"
"Tue May 30 2023 15:25:00 GMT+0530 (India Standard Time)","18643.45","18647.35","18638.30","18639.95","57.29"
"Wed May 31 2023 09:15:00 GMT+0530 (India Standard Time)","18594.20","18602.40","18571.45","18571.70","29.69"
"Wed May 31 2023 09:20:00 GMT+0530 (India Standard Time)","18566.95","18567.80","18554.70","18567.80","28.83"
"Wed May 31 2023 09:25:00 GMT+0530 (India Standard Time)","18567.45","18569.65","18552.55","18560.30","27.21"
"Wed May 31 2023 09:30:00 GMT+0530 (India Standard Time)","18560.20","18567.40","18551.80","18567.40","31.16"
"Wed May 31 2023 09:35:00 GMT+0530 (India Standard Time)","18567.70","18567.70","18549.65","18557.20","28.74"
"Wed May 31 2023 09:40:00 GMT+0530 (India Standard Time)","18556.90","18567.45","18555.05","18561.65","31.25"
"Wed May 31 2023 09:45:00 GMT+0530 (India Standard Time)","18562.00","18562.90","18550.30","18562.60","31.80"
"Wed May 31 2023 09:50:00 GMT+0530 (India Standard Time)","18563.75","18565.85","18552.25","18553.55","29.38"
"Wed May 31 2023 09:55:00 GMT+0530 (India Standard Time)","18553.60","18558.30","18544.25","18557.80","31.99"
"Wed May 31 2023 10:00:00 GMT+0530 (India Standard Time)","18558.30","18568.95","18557.75","18565.95","36.82"
"Wed May 31 2023 10:05:00 GMT+0530 (India Standard Time)","18565.80","18566.65","18561.60","18563.75","36.08"
"Wed May 31 2023 10:10:00 GMT+0530 (India Standard Time)","18563.75","18576.10","18562.50","18569.15","39.32"
"Wed May 31 2023 10:15:00 GMT+0530 (India Standard Time)","18568.20","18569.70","18559.70","18560.10","36.02"
"Wed May 31 2023 10:20:00 GMT+0530 (India Standard Time)","18560.00","18561.55","18544.15","18544.75","31.24"
"Wed May 31 2023 10:25:00 GMT+0530 (India Standard Time)","18544.35","18547.75","18538.95","18544.60","31.19"
"Wed May 31 2023 10:30:00 GMT+0530 (India Standard Time)","18544.30","18548.95","18535.70","18536.55","28.86"
