"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 31 2023 15:18:00 GMT+0530 (India Standard Time)","24.70","24.95","23.50","24.15","40.93"
"Wed May 31 2023 15:19:00 GMT+0530 (India Standard Time)","23.75","23.85","21.00","21.00","35.74"
"Wed May 31 2023 15:20:00 GMT+0530 (India Standard Time)","20.85","22.25","20.30","22.25","39.04"
"Wed May 31 2023 15:21:00 GMT+0530 (India Standard Time)","22.15","23.70","22.00","23.35","41.87"
"Wed May 31 2023 15:22:00 GMT+0530 (India Standard Time)","23.35","23.95","23.15","23.65","42.66"
"Wed May 31 2023 15:23:00 GMT+0530 (India Standard Time)","23.60","25.15","23.50","25.10","46.41"
"Wed May 31 2023 15:24:00 GMT+0530 (India Standard Time)","25.20","25.40","22.95","23.10","42.30"
"Wed May 31 2023 15:25:00 GMT+0530 (India Standard Time)","23.00","23.85","22.40","23.50","43.38"
"Wed May 31 2023 15:26:00 GMT+0530 (India Standard Time)","23.60","24.20","23.10","24.05","44.90"
"Wed May 31 2023 15:27:00 GMT+0530 (India Standard Time)","24.15","26.00","24.15","26.00","50.05"
"Wed May 31 2023 15:28:00 GMT+0530 (India Standard Time)","25.80","26.50","25.10","26.05","50.18"
"Wed May 31 2023 15:29:00 GMT+0530 (India Standard Time)","26.20","27.00","26.05","26.85","52.29"
"Thu Jun 01 2023 09:15:00 GMT+0530 (India Standard Time)","20.30","29.55","15.05","27.90","55.00"
"Thu Jun 01 2023 09:16:00 GMT+0530 (India Standard Time)","26.95","27.90","21.15","21.20","39.59"
"Thu Jun 01 2023 09:17:00 GMT+0530 (India Standard Time)","20.85","21.60","18.65","19.85","37.33"
"Thu Jun 01 2023 09:18:00 GMT+0530 (India Standard Time)","19.35","21.85","18.70","19.65","36.99"
"Thu Jun 01 2023 09:19:00 GMT+0530 (India Standard Time)","19.40","20.00","16.70","17.25","33.11"
"Thu Jun 01 2023 09:20:00 GMT+0530 (India Standard Time)","17.20","19.55","16.30","17.45","33.74"
"Thu Jun 01 2023 09:21:00 GMT+0530 (India Standard Time)","17.60","19.15","16.85","18.40","36.75"
"Thu Jun 01 2023 09:22:00 GMT+0530 (India Standard Time)","18.95","20.15","17.85","19.25","39.41"
"Thu Jun 01 2023 09:23:00 GMT+0530 (India Standard Time)","19.60","20.85","18.80","20.00","41.73"
"Thu Jun 01 2023 09:24:00 GMT+0530 (India Standard Time)","20.25","21.00","19.50","19.85","41.39"
"Thu Jun 01 2023 09:25:00 GMT+0530 (India Standard Time)","20.30","24.70","19.85","23.80","52.44"
"Thu Jun 01 2023 09:26:00 GMT+0530 (India Standard Time)","24.15","26.50","23.40","25.40","56.06"
"Thu Jun 01 2023 09:27:00 GMT+0530 (India Standard Time)","25.50","26.50","24.55","25.20","55.49"
"Thu Jun 01 2023 09:28:00 GMT+0530 (India Standard Time)","25.60","25.65","22.15","24.60","53.73"
"Thu Jun 01 2023 09:29:00 GMT+0530 (India Standard Time)","24.75","26.60","24.15","26.15","57.48"
"Thu Jun 01 2023 09:30:00 GMT+0530 (India Standard Time)","27.25","27.40","24.55","24.75","53.28"
