"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 31 2023 14:47:00 GMT+0530 (India Standard Time)","13.00","13.40","12.25","13.30","56.63"
"Wed May 31 2023 14:48:00 GMT+0530 (India Standard Time)","13.25","13.60","13.00","13.45","57.72"
"Wed May 31 2023 14:49:00 GMT+0530 (India Standard Time)","13.50","13.60","13.05","13.10","54.30"
"Wed May 31 2023 14:50:00 GMT+0530 (India Standard Time)","13.30","13.35","12.40","12.85","51.94"
"Wed May 31 2023 14:51:00 GMT+0530 (India Standard Time)","12.80","13.10","12.45","12.50","48.74"
"Wed May 31 2023 14:52:00 GMT+0530 (India Standard Time)","12.60","13.15","12.45","12.90","52.35"
"Wed May 31 2023 14:53:00 GMT+0530 (India Standard Time)","13.05","13.05","12.60","13.05","53.67"
"Wed May 31 2023 14:54:00 GMT+0530 (India Standard Time)","13.10","13.15","12.65","12.85","51.62"
"Wed May 31 2023 14:55:00 GMT+0530 (India Standard Time)","13.00","13.15","12.80","13.10","53.99"
"Wed May 31 2023 14:56:00 GMT+0530 (India Standard Time)","13.00","13.10","12.20","12.25","45.79"
"Wed May 31 2023 14:57:00 GMT+0530 (India Standard Time)","12.40","12.50","10.50","12.05","44.09"
"Wed May 31 2023 14:58:00 GMT+0530 (India Standard Time)","12.45","12.85","12.05","12.40","47.74"
"Wed May 31 2023 14:59:00 GMT+0530 (India Standard Time)","12.75","13.60","12.50","13.40","56.48"
"Wed May 31 2023 15:00:00 GMT+0530 (India Standard Time)","13.95","16.00","13.40","16.00","70.36"
"Wed May 31 2023 15:01:00 GMT+0530 (India Standard Time)","16.40","16.50","13.05","13.10","50.87"
"Wed May 31 2023 15:02:00 GMT+0530 (India Standard Time)","13.25","13.25","10.65","11.15","42.37"
"Wed May 31 2023 15:03:00 GMT+0530 (India Standard Time)","11.45","12.00","10.95","11.70","45.15"
"Wed May 31 2023 15:04:00 GMT+0530 (India Standard Time)","11.85","12.05","10.50","10.80","41.61"
"Wed May 31 2023 15:05:00 GMT+0530 (India Standard Time)","11.00","11.10","9.70","10.40","40.11"
"Wed May 31 2023 15:06:00 GMT+0530 (India Standard Time)","10.45","10.60","9.55","9.90","38.24"
"Wed May 31 2023 15:07:00 GMT+0530 (India Standard Time)","9.95","11.70","9.90","10.95","44.11"
"Wed May 31 2023 15:08:00 GMT+0530 (India Standard Time)","10.95","11.50","10.55","10.80","43.48"
"Wed May 31 2023 15:09:00 GMT+0530 (India Standard Time)","10.95","11.50","10.70","11.10","45.18"
"Wed May 31 2023 15:10:00 GMT+0530 (India Standard Time)","11.05","11.50","11.00","11.40","46.90"
"Wed May 31 2023 15:11:00 GMT+0530 (India Standard Time)","11.50","11.55","10.60","11.35","46.64"
