"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Mon May 22 2023 14:57:00 GMT+0530 (India Standard Time)","51.55","57.95","49.90","55.70","37.30"
"Mon May 22 2023 14:58:00 GMT+0530 (India Standard Time)","54.00","57.55","53.60","54.45","35.97"
"Mon May 22 2023 14:59:00 GMT+0530 (India Standard Time)","52.85","57.30","52.75","56.00","38.89"
"Mon May 22 2023 15:00:00 GMT+0530 (India Standard Time)","54.55","57.85","52.25","56.00","38.89"
"Mon May 22 2023 15:01:00 GMT+0530 (India Standard Time)","54.80","56.95","46.35","51.35","33.57"
"Mon May 22 2023 15:02:00 GMT+0530 (India Standard Time)","50.65","54.20","50.35","50.55","32.74"
"Mon May 22 2023 15:03:00 GMT+0530 (India Standard Time)","49.20","50.15","46.70","47.10","29.37"
"Mon May 22 2023 15:04:00 GMT+0530 (India Standard Time)","46.30","47.55","42.40","42.40","25.52"
"Mon May 22 2023 15:05:00 GMT+0530 (India Standard Time)","42.20","42.75","39.15","41.65","24.96"
"Mon May 22 2023 15:06:00 GMT+0530 (India Standard Time)","41.10","41.35","38.30","39.30","23.23"
"Mon May 22 2023 15:07:00 GMT+0530 (India Standard Time)","39.00","42.60","38.50","42.20","29.70"
"Mon May 22 2023 15:08:00 GMT+0530 (India Standard Time)","42.30","47.85","41.85","46.95","38.79"
"Mon May 22 2023 15:09:00 GMT+0530 (India Standard Time)","46.50","49.60","44.80","47.00","38.88"
"Mon May 22 2023 15:10:00 GMT+0530 (India Standard Time)","46.60","50.20","44.35","48.50","41.65"
"Mon May 22 2023 15:11:00 GMT+0530 (India Standard Time)","48.35","53.25","47.60","52.05","47.67"
"Mon May 22 2023 15:12:00 GMT+0530 (India Standard Time)","51.10","57.25","50.55","56.90","54.57"
"Mon May 22 2023 15:13:00 GMT+0530 (India Standard Time)","55.80","57.35","52.00","54.45","50.92"
"Mon May 22 2023 15:14:00 GMT+0530 (India Standard Time)","53.40","55.90","52.75","54.35","50.77"
"Mon May 22 2023 15:15:00 GMT+0530 (India Standard Time)","54.40","56.30","49.80","52.85","48.47"
"Mon May 22 2023 15:16:00 GMT+0530 (India Standard Time)","52.95","55.40","50.00","51.15","45.94"
"Mon May 22 2023 15:17:00 GMT+0530 (India Standard Time)","50.95","52.10","48.85","49.70","43.83"
"Mon May 22 2023 15:18:00 GMT+0530 (India Standard Time)","50.20","52.40","48.50","49.05","42.88"
"Mon May 22 2023 15:19:00 GMT+0530 (India Standard Time)","49.20","51.60","48.15","51.45","47.41"
"Mon May 22 2023 15:20:00 GMT+0530 (India Standard Time)","51.20","53.55","50.90","52.60","49.48"
"Mon May 22 2023 15:21:00 GMT+0530 (India Standard Time)","53.00","55.85","52.55","55.55","54.43"
"Mon May 22 2023 15:22:00 GMT+0530 (India Standard Time)","55.45","57.95","54.15","57.05","56.75"
"Mon May 22 2023 15:23:00 GMT+0530 (India Standard Time)","57.85","67.35","57.05","66.50","67.85"
"Mon May 22 2023 15:24:00 GMT+0530 (India Standard Time)","66.25","67.25","60.65","64.10","63.40"
"Mon May 22 2023 15:25:00 GMT+0530 (India Standard Time)","63.50","65.25","62.65","63.00","61.41"
"Mon May 22 2023 15:26:00 GMT+0530 (India Standard Time)","63.05","65.00","62.50","63.35","61.82"
"Mon May 22 2023 15:27:00 GMT+0530 (India Standard Time)","63.25","63.45","58.15","61.00","57.41"
"Mon May 22 2023 15:28:00 GMT+0530 (India Standard Time)","61.15","63.15","60.70","62.40","59.27"
"Mon May 22 2023 15:29:00 GMT+0530 (India Standard Time)","62.45","63.00","59.00","59.40","53.83"
"Tue May 23 2023 09:15:00 GMT+0530 (India Standard Time)","20.85","39.00","20.85","29.60","27.16"
"Tue May 23 2023 09:16:00 GMT+0530 (India Standard Time)","28.80","34.30","28.05","34.15","32.65"
"Tue May 23 2023 09:17:00 GMT+0530 (India Standard Time)","33.50","34.15","30.10","30.80","30.81"
"Tue May 23 2023 09:18:00 GMT+0530 (India Standard Time)","29.65","30.55","27.40","28.90","29.78"
"Tue May 23 2023 09:19:00 GMT+0530 (India Standard Time)","28.95","30.50","27.85","28.55","29.58"
"Tue May 23 2023 09:20:00 GMT+0530 (India Standard Time)","28.20","31.50","28.20","31.50","33.54"
"Tue May 23 2023 09:21:00 GMT+0530 (India Standard Time)","31.80","34.50","31.10","31.40","33.47"
"Tue May 23 2023 09:22:00 GMT+0530 (India Standard Time)","30.65","34.95","30.50","34.15","37.28"
"Tue May 23 2023 09:23:00 GMT+0530 (India Standard Time)","33.15","34.20","31.45","32.90","36.26"
"Tue May 23 2023 09:24:00 GMT+0530 (India Standard Time)","33.10","35.70","30.25","32.25","35.72"
"Tue May 23 2023 09:25:00 GMT+0530 (India Standard Time)","31.75","34.40","30.60","30.85","34.51"
"Tue May 23 2023 09:26:00 GMT+0530 (India Standard Time)","30.35","31.95","28.40","31.15","35.02"
"Tue May 23 2023 09:27:00 GMT+0530 (India Standard Time)","30.60","30.90","28.65","29.55","33.53"
"Tue May 23 2023 09:28:00 GMT+0530 (India Standard Time)","30.30","33.20","29.75","32.00","37.88"
"Tue May 23 2023 09:29:00 GMT+0530 (India Standard Time)","32.30","34.00","30.40","30.90","36.72"
"Tue May 23 2023 09:30:00 GMT+0530 (India Standard Time)","30.70","31.00","27.80","27.80","33.60"
"Tue May 23 2023 09:31:00 GMT+0530 (India Standard Time)","26.85","28.75","25.85","27.90","33.79"
"Tue May 23 2023 09:32:00 GMT+0530 (India Standard Time)","27.50","27.80","25.85","27.00","32.85"
"Tue May 23 2023 09:33:00 GMT+0530 (India Standard Time)","27.00","27.80","26.50","27.45","33.84"
