"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Thu May 18 2023 15:15:00 GMT+0530 (India Standard Time)","92.30","92.35","85.80","91.20","41.12"
"Thu May 18 2023 15:20:00 GMT+0530 (India Standard Time)","92.15","94.05","89.25","89.70","40.36"
"Thu May 18 2023 15:25:00 GMT+0530 (India Standard Time)","89.65","92.00","88.40","91.40","41.68"
"Fri May 19 2023 09:15:00 GMT+0530 (India Standard Time)","100.05","113.80","92.70","93.50","43.36"
"Fri May 19 2023 09:20:00 GMT+0530 (India Standard Time)","92.90","95.45","86.65","95.25","44.79"
"Fri May 19 2023 09:25:00 GMT+0530 (India Standard Time)","95.90","100.95","91.95","95.75","45.21"
"Fri May 19 2023 09:30:00 GMT+0530 (India Standard Time)","95.30","97.35","87.35","90.00","41.28"
"Fri May 19 2023 09:35:00 GMT+0530 (India Standard Time)","89.95","90.10","81.50","86.25","38.91"
"Fri May 19 2023 09:40:00 GMT+0530 (India Standard Time)","86.50","87.85","78.50","79.60","35.06"
"Fri May 19 2023 09:45:00 GMT+0530 (India Standard Time)","79.40","81.00","68.85","69.40","30.13"
"Fri May 19 2023 09:50:00 GMT+0530 (India Standard Time)","68.75","69.40","60.65","61.30","26.90"
"Fri May 19 2023 09:55:00 GMT+0530 (India Standard Time)","60.20","62.45","57.30","59.95","26.39"
"Fri May 19 2023 10:00:00 GMT+0530 (India Standard Time)","60.15","60.15","50.15","50.65","23.15"
"Fri May 19 2023 10:05:00 GMT+0530 (India Standard Time)","50.60","55.55","48.45","49.95","22.92"
"Fri May 19 2023 10:10:00 GMT+0530 (India Standard Time)","49.80","58.15","49.65","53.20","26.54"
"Fri May 19 2023 10:15:00 GMT+0530 (India Standard Time)","52.60","57.35","51.50","51.50","25.86"
"Fri May 19 2023 10:20:00 GMT+0530 (India Standard Time)","51.80","55.75","50.20","55.10","29.98"
"Fri May 19 2023 10:25:00 GMT+0530 (India Standard Time)","54.65","59.20","51.55","58.80","34.03"
"Fri May 19 2023 10:30:00 GMT+0530 (India Standard Time)","58.15","60.45","55.50","57.95","33.55"
"Fri May 19 2023 10:35:00 GMT+0530 (India Standard Time)","57.60","57.95","46.90","47.20","28.14"
"Fri May 19 2023 10:40:00 GMT+0530 (India Standard Time)","47.15","50.95","44.05","50.15","31.41"
"Fri May 19 2023 10:45:00 GMT+0530 (India Standard Time)","49.55","52.95","49.10","51.35","32.75"
"Fri May 19 2023 10:50:00 GMT+0530 (India Standard Time)","51.25","54.15","50.05","50.50","32.27"
"Fri May 19 2023 10:55:00 GMT+0530 (India Standard Time)","50.35","54.25","50.30","54.00","36.41"
"Fri May 19 2023 11:00:00 GMT+0530 (India Standard Time)","53.90","55.95","52.25","53.60","36.14"
"Fri May 19 2023 11:05:00 GMT+0530 (India Standard Time)","53.30","54.95","50.80","52.65","35.46"
"Fri May 19 2023 11:10:00 GMT+0530 (India Standard Time)","52.65","57.50","51.95","57.00","40.93"
"Fri May 19 2023 11:15:00 GMT+0530 (India Standard Time)","57.70","70.00","54.35","67.50","51.58"
"Fri May 19 2023 11:20:00 GMT+0530 (India Standard Time)","67.85","68.50","59.60","62.40","47.14"
"Fri May 19 2023 11:25:00 GMT+0530 (India Standard Time)","62.15","62.50","54.20","56.20","42.35"
"Fri May 19 2023 11:30:00 GMT+0530 (India Standard Time)","56.35","56.95","51.85","55.15","41.59"
"Fri May 19 2023 11:35:00 GMT+0530 (India Standard Time)","55.15","58.85","54.65","58.50","45.02"
"Fri May 19 2023 11:40:00 GMT+0530 (India Standard Time)","58.40","60.70","57.30","60.40","46.92"
"Fri May 19 2023 11:45:00 GMT+0530 (India Standard Time)","60.50","60.80","56.45","56.55","43.62"
"Fri May 19 2023 11:50:00 GMT+0530 (India Standard Time)","56.50","61.35","56.25","60.70","47.88"
"Fri May 19 2023 11:55:00 GMT+0530 (India Standard Time)","60.75","65.00","60.45","64.40","51.40"
"Fri May 19 2023 12:00:00 GMT+0530 (India Standard Time)","64.50","66.60","60.70","62.60","49.64"
"Fri May 19 2023 12:05:00 GMT+0530 (India Standard Time)","62.80","65.65","61.65","64.15","51.19"
"Fri May 19 2023 12:10:00 GMT+0530 (India Standard Time)","64.30","64.75","56.75","57.90","45.16"
"Fri May 19 2023 12:15:00 GMT+0530 (India Standard Time)","58.00","59.25","53.30","56.25","43.70"
"Fri May 19 2023 12:20:00 GMT+0530 (India Standard Time)","56.00","59.55","53.15","56.10","43.56"
"Fri May 19 2023 12:25:00 GMT+0530 (India Standard Time)","56.40","59.65","54.65","56.50","44.07"
"Fri May 19 2023 12:30:00 GMT+0530 (India Standard Time)","56.30","56.70","46.00","46.45","35.45"
"Fri May 19 2023 12:35:00 GMT+0530 (India Standard Time)","46.00","51.65","44.25","44.25","33.88"
"Fri May 19 2023 12:40:00 GMT+0530 (India Standard Time)","44.35","52.65","43.95","51.45","42.78"
"Fri May 19 2023 12:45:00 GMT+0530 (India Standard Time)","52.00","55.00","49.20","53.10","44.62"
"Fri May 19 2023 12:50:00 GMT+0530 (India Standard Time)","53.55","55.75","51.20","53.60","45.19"
"Fri May 19 2023 12:55:00 GMT+0530 (India Standard Time)","52.90","54.50","50.25","52.60","44.20"
"Fri May 19 2023 13:00:00 GMT+0530 (India Standard Time)","52.85","57.95","52.30","56.70","49.11"
"Fri May 19 2023 13:05:00 GMT+0530 (India Standard Time)","56.75","59.30","52.40","54.45","46.69"
"Fri May 19 2023 13:10:00 GMT+0530 (India Standard Time)","54.40","57.30","50.60","56.60","49.27"
"Fri May 19 2023 13:15:00 GMT+0530 (India Standard Time)","56.80","63.85","56.65","61.50","54.66"
"Fri May 19 2023 13:20:00 GMT+0530 (India Standard Time)","61.45","64.95","58.75","58.75","51.36"
"Fri May 19 2023 13:25:00 GMT+0530 (India Standard Time)","59.20","61.45","53.85","55.40","47.59"
"Fri May 19 2023 13:30:00 GMT+0530 (India Standard Time)","55.35","56.45","51.50","53.90","45.97"
"Fri May 19 2023 13:35:00 GMT+0530 (India Standard Time)","54.15","54.95","49.45","52.05","43.97"
"Fri May 19 2023 13:40:00 GMT+0530 (India Standard Time)","51.80","56.40","50.30","53.50","45.95"
"Fri May 19 2023 13:45:00 GMT+0530 (India Standard Time)","53.60","54.40","50.35","53.70","46.23"
"Fri May 19 2023 13:50:00 GMT+0530 (India Standard Time)","54.40","57.65","53.25","56.80","50.54"
"Fri May 19 2023 13:55:00 GMT+0530 (India Standard Time)","56.95","63.60","56.55","61.35","56.11"
"Fri May 19 2023 14:00:00 GMT+0530 (India Standard Time)","61.90","73.70","61.50","71.15","65.19"
"Fri May 19 2023 14:05:00 GMT+0530 (India Standard Time)","71.95","76.20","69.20","70.10","63.67"
