"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Mon May 22 2023 12:45:00 GMT+0530 (India Standard Time)","32.90","34.50","25.65","27.00","48.00"
"Mon May 22 2023 12:50:00 GMT+0530 (India Standard Time)","26.85","27.45","24.20","25.65","46.09"
"Mon May 22 2023 12:55:00 GMT+0530 (India Standard Time)","25.35","27.30","25.35","26.45","47.42"
"Mon May 22 2023 13:00:00 GMT+0530 (India Standard Time)","26.60","29.25","26.45","29.20","51.84"
"Mon May 22 2023 13:05:00 GMT+0530 (India Standard Time)","29.50","33.35","27.45","32.20","56.16"
"Mon May 22 2023 13:10:00 GMT+0530 (India Standard Time)","32.15","32.40","22.40","23.35","43.70"
"Mon May 22 2023 13:15:00 GMT+0530 (India Standard Time)","23.20","25.60","21.40","25.25","46.44"
"Mon May 22 2023 13:20:00 GMT+0530 (India Standard Time)","24.95","27.50","24.40","25.65","47.03"
"Mon May 22 2023 13:25:00 GMT+0530 (India Standard Time)","25.50","36.45","25.40","34.15","57.64"
"Mon May 22 2023 13:30:00 GMT+0530 (India Standard Time)","34.85","45.70","30.20","43.85","66.01"
"Mon May 22 2023 13:35:00 GMT+0530 (India Standard Time)","43.05","46.65","37.25","44.70","66.63"
"Mon May 22 2023 13:40:00 GMT+0530 (India Standard Time)","44.75","49.55","41.50","41.80","62.43"
"Mon May 22 2023 13:45:00 GMT+0530 (India Standard Time)","41.45","46.05","37.90","37.90","57.21"
"Mon May 22 2023 13:50:00 GMT+0530 (India Standard Time)","38.35","40.50","34.30","34.75","53.33"
"Mon May 22 2023 13:55:00 GMT+0530 (India Standard Time)","34.70","36.15","31.30","32.10","50.25"
"Mon May 22 2023 14:00:00 GMT+0530 (India Standard Time)","31.70","32.25","25.20","26.60","44.49"
"Mon May 22 2023 14:05:00 GMT+0530 (India Standard Time)","26.30","31.60","25.80","28.40","46.65"
"Mon May 22 2023 14:10:00 GMT+0530 (India Standard Time)","28.20","28.60","22.95","24.00","42.32"
"Mon May 22 2023 14:15:00 GMT+0530 (India Standard Time)","23.80","27.75","22.85","26.50","45.42"
"Mon May 22 2023 14:20:00 GMT+0530 (India Standard Time)","26.40","30.30","25.60","29.20","48.62"
"Mon May 22 2023 14:25:00 GMT+0530 (India Standard Time)","29.05","32.30","27.70","29.30","48.74"
"Mon May 22 2023 14:30:00 GMT+0530 (India Standard Time)","29.15","30.60","24.50","29.75","49.32"
"Mon May 22 2023 14:35:00 GMT+0530 (India Standard Time)","29.95","30.90","25.75","30.85","50.77"
"Mon May 22 2023 14:40:00 GMT+0530 (India Standard Time)","30.60","33.25","27.05","30.00","49.59"
"Mon May 22 2023 14:45:00 GMT+0530 (India Standard Time)","29.65","31.65","23.25","25.00","43.21"
"Mon May 22 2023 14:50:00 GMT+0530 (India Standard Time)","25.05","25.85","21.05","22.65","40.57"
"Mon May 22 2023 14:55:00 GMT+0530 (India Standard Time)","22.50","23.40","18.25","21.05","38.84"
"Mon May 22 2023 15:00:00 GMT+0530 (India Standard Time)","20.30","21.80","14.90","14.90","32.98"
"Mon May 22 2023 15:05:00 GMT+0530 (India Standard Time)","14.80","17.75","13.00","16.75","36.10"
"Mon May 22 2023 15:10:00 GMT+0530 (India Standard Time)","16.40","21.15","15.45","19.55","40.61"
"Mon May 22 2023 15:15:00 GMT+0530 (India Standard Time)","19.65","20.65","16.30","17.95","38.92"
"Mon May 22 2023 15:20:00 GMT+0530 (India Standard Time)","17.85","24.95","17.75","23.20","46.75"
"Mon May 22 2023 15:25:00 GMT+0530 (India Standard Time)","23.00","23.80","19.90","21.05","44.25"
"Tue May 23 2023 09:15:00 GMT+0530 (India Standard Time)","9.80","10.95","5.60","6.60","31.90"
"Tue May 23 2023 09:20:00 GMT+0530 (India Standard Time)","6.50","8.05","6.50","7.25","32.81"
"Tue May 23 2023 09:25:00 GMT+0530 (India Standard Time)","7.10","7.85","6.20","6.75","32.45"
"Tue May 23 2023 09:30:00 GMT+0530 (India Standard Time)","6.70","6.75","5.30","6.05","31.92"
"Tue May 23 2023 09:35:00 GMT+0530 (India Standard Time)","6.10","6.75","5.65","6.00","31.88"
"Tue May 23 2023 09:40:00 GMT+0530 (India Standard Time)","5.95","6.25","5.65","6.10","32.06"
"Tue May 23 2023 09:45:00 GMT+0530 (India Standard Time)","6.00","6.50","5.45","6.05","32.02"
"Tue May 23 2023 09:50:00 GMT+0530 (India Standard Time)","6.05","6.85","5.40","5.80","31.77"
"Tue May 23 2023 09:55:00 GMT+0530 (India Standard Time)","5.75","5.95","4.95","5.35","31.30"
"Tue May 23 2023 10:00:00 GMT+0530 (India Standard Time)","5.35","5.70","4.75","5.35","31.30"
"Tue May 23 2023 10:05:00 GMT+0530 (India Standard Time)","5.30","5.70","4.95","5.55","31.82"
"Tue May 23 2023 10:10:00 GMT+0530 (India Standard Time)","5.50","5.80","5.30","5.70","32.23"
"Tue May 23 2023 10:15:00 GMT+0530 (India Standard Time)","5.65","7.15","5.55","6.75","35.18"
"Tue May 23 2023 10:20:00 GMT+0530 (India Standard Time)","6.70","6.95","5.35","5.35","33.11"
"Tue May 23 2023 10:25:00 GMT+0530 (India Standard Time)","5.35","5.50","4.70","5.35","33.11"
"Tue May 23 2023 10:30:00 GMT+0530 (India Standard Time)","5.30","5.70","4.85","4.95","32.48"
"Tue May 23 2023 10:35:00 GMT+0530 (India Standard Time)","4.95","5.35","4.40","4.45","31.66"
"Tue May 23 2023 10:40:00 GMT+0530 (India Standard Time)","4.45","4.60","4.00","4.15","31.16"
"Tue May 23 2023 10:45:00 GMT+0530 (India Standard Time)","4.10","4.15","2.85","2.90","29.08"
"Tue May 23 2023 10:50:00 GMT+0530 (India Standard Time)","2.90","3.45","2.85","3.35","30.87"
"Tue May 23 2023 10:55:00 GMT+0530 (India Standard Time)","3.35","3.55","3.25","3.55","31.69"
"Tue May 23 2023 11:00:00 GMT+0530 (India Standard Time)","3.55","3.75","3.35","3.60","31.91"
"Tue May 23 2023 11:05:00 GMT+0530 (India Standard Time)","3.60","3.65","2.80","2.95","30.54"
"Tue May 23 2023 11:10:00 GMT+0530 (India Standard Time)","3.00","3.15","2.90","2.95","30.54"
"Tue May 23 2023 11:15:00 GMT+0530 (India Standard Time)","3.00","3.15","2.70","3.15","31.59"
"Tue May 23 2023 11:20:00 GMT+0530 (India Standard Time)","3.10","3.25","2.70","3.15","31.59"
"Tue May 23 2023 11:25:00 GMT+0530 (India Standard Time)","3.15","3.40","3.10","3.30","32.48"
"Tue May 23 2023 11:30:00 GMT+0530 (India Standard Time)","3.30","3.70","3.25","3.45","33.40"
"Tue May 23 2023 11:35:00 GMT+0530 (India Standard Time)","3.55","4.00","2.65","2.95","31.83"
"Tue May 23 2023 11:40:00 GMT+0530 (India Standard Time)","2.90","3.20","2.65","2.70","31.05"
"Tue May 23 2023 11:45:00 GMT+0530 (India Standard Time)","2.70","3.50","2.65","3.30","35.18"
"Tue May 23 2023 11:50:00 GMT+0530 (India Standard Time)","3.25","3.95","3.20","3.35","35.53"
"Tue May 23 2023 11:55:00 GMT+0530 (India Standard Time)","3.35","3.65","3.05","3.35","35.53"
"Tue May 23 2023 12:00:00 GMT+0530 (India Standard Time)","3.25","3.30","2.10","2.40","31.78"
"Tue May 23 2023 12:05:00 GMT+0530 (India Standard Time)","2.40","3.00","2.35","2.85","35.27"
"Tue May 23 2023 12:10:00 GMT+0530 (India Standard Time)","2.90","3.40","2.50","2.50","33.82"
"Tue May 23 2023 12:15:00 GMT+0530 (India Standard Time)","2.50","2.65","2.30","2.50","33.82"
"Tue May 23 2023 12:20:00 GMT+0530 (India Standard Time)","2.50","3.50","2.40","3.50","41.74"
"Tue May 23 2023 12:25:00 GMT+0530 (India Standard Time)","3.50","3.60","2.35","2.45","36.77"
"Tue May 23 2023 12:30:00 GMT+0530 (India Standard Time)","2.45","2.75","2.40","2.45","36.77"
"Tue May 23 2023 12:35:00 GMT+0530 (India Standard Time)","2.45","2.70","2.35","2.45","36.77"
"Tue May 23 2023 12:40:00 GMT+0530 (India Standard Time)","2.45","2.55","1.80","1.90","34.10"
"Tue May 23 2023 12:45:00 GMT+0530 (India Standard Time)","1.90","2.35","1.50","1.80","33.63"
"Tue May 23 2023 12:50:00 GMT+0530 (India Standard Time)","1.75","1.95","1.65","1.75","33.38"
"Tue May 23 2023 12:55:00 GMT+0530 (India Standard Time)","1.75","1.80","1.60","1.65","32.85"
"Tue May 23 2023 13:00:00 GMT+0530 (India Standard Time)","1.70","2.15","1.55","2.15","38.12"
"Tue May 23 2023 13:05:00 GMT+0530 (India Standard Time)","2.25","2.35","1.85","2.25","39.15"
"Tue May 23 2023 13:10:00 GMT+0530 (India Standard Time)","2.30","2.30","1.95","2.15","38.46"
"Tue May 23 2023 13:15:00 GMT+0530 (India Standard Time)","2.15","2.70","2.10","2.35","40.71"
"Tue May 23 2023 13:20:00 GMT+0530 (India Standard Time)","2.30","2.45","1.55","1.60","35.48"
"Tue May 23 2023 13:25:00 GMT+0530 (India Standard Time)","1.55","1.75","1.30","1.50","34.84"
"Tue May 23 2023 13:30:00 GMT+0530 (India Standard Time)","1.45","1.65","1.35","1.45","34.50"
"Tue May 23 2023 13:35:00 GMT+0530 (India Standard Time)","1.45","1.50","1.25","1.40","34.14"
"Tue May 23 2023 13:40:00 GMT+0530 (India Standard Time)","1.35","1.60","1.30","1.30","33.40"
"Tue May 23 2023 13:45:00 GMT+0530 (India Standard Time)","1.35","1.60","1.10","1.15","32.27"
"Tue May 23 2023 13:50:00 GMT+0530 (India Standard Time)","1.15","1.20","0.90","0.95","30.77"
"Tue May 23 2023 13:55:00 GMT+0530 (India Standard Time)","0.95","1.30","0.90","1.30","36.34"
"Tue May 23 2023 14:00:00 GMT+0530 (India Standard Time)","1.25","1.70","0.80","0.95","33.44"
"Tue May 23 2023 14:05:00 GMT+0530 (India Standard Time)","0.95","1.00","0.80","0.90","33.04"
"Tue May 23 2023 14:10:00 GMT+0530 (India Standard Time)","0.90","0.95","0.70","0.80","32.20"
"Tue May 23 2023 14:15:00 GMT+0530 (India Standard Time)","0.80","0.85","0.60","0.60","30.53"
"Tue May 23 2023 14:20:00 GMT+0530 (India Standard Time)","0.60","0.70","0.60","0.60","30.53"
"Tue May 23 2023 14:25:00 GMT+0530 (India Standard Time)","0.60","0.65","0.50","0.55","30.08"
"Tue May 23 2023 14:30:00 GMT+0530 (India Standard Time)","0.55","0.60","0.45","0.45","29.14"
"Tue May 23 2023 14:35:00 GMT+0530 (India Standard Time)","0.45","0.60","0.45","0.50","30.31"
"Tue May 23 2023 14:40:00 GMT+0530 (India Standard Time)","0.50","0.80","0.50","0.55","31.51"
"Tue May 23 2023 14:45:00 GMT+0530 (India Standard Time)","0.55","0.70","0.50","0.55","31.51"
"Tue May 23 2023 14:50:00 GMT+0530 (India Standard Time)","0.55","0.65","0.50","0.55","31.51"
"Tue May 23 2023 14:55:00 GMT+0530 (India Standard Time)","0.55","0.55","0.20","0.25","27.89"
"Tue May 23 2023 15:00:00 GMT+0530 (India Standard Time)","0.25","0.30","0.15","0.20","27.33"
"Tue May 23 2023 15:05:00 GMT+0530 (India Standard Time)","0.20","0.25","0.10","0.15","26.74"
"Tue May 23 2023 15:10:00 GMT+0530 (India Standard Time)","0.20","0.20","0.10","0.10","26.14"
"Tue May 23 2023 15:15:00 GMT+0530 (India Standard Time)","0.15","0.15","0.05","0.05","25.53"
"Tue May 23 2023 15:20:00 GMT+0530 (India Standard Time)","0.05","0.10","0.05","0.05","25.53"
"Tue May 23 2023 15:25:00 GMT+0530 (India Standard Time)","0.05","0.05","0.05","0.05","25.53"
