"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Mon May 22 2023 13:50:00 GMT+0530 (India Standard Time)","23.40","24.75","22.80","24.00","49.32"
"Mon May 22 2023 13:51:00 GMT+0530 (India Standard Time)","24.00","24.05","20.60","22.90","45.74"
"Mon May 22 2023 13:52:00 GMT+0530 (India Standard Time)","23.25","23.75","21.70","22.55","44.62"
"Mon May 22 2023 13:53:00 GMT+0530 (India Standard Time)","22.50","22.95","21.95","22.45","44.29"
"Mon May 22 2023 13:54:00 GMT+0530 (India Standard Time)","22.50","24.20","22.35","23.85","49.90"
"Mon May 22 2023 13:55:00 GMT+0530 (India Standard Time)","24.00","25.00","23.20","24.75","53.16"
"Mon May 22 2023 13:56:00 GMT+0530 (India Standard Time)","25.10","25.90","24.70","25.45","55.58"
"Mon May 22 2023 13:57:00 GMT+0530 (India Standard Time)","25.35","26.95","25.20","25.75","56.62"
"Mon May 22 2023 13:58:00 GMT+0530 (India Standard Time)","25.70","26.75","25.50","25.95","57.33"
"Mon May 22 2023 13:59:00 GMT+0530 (India Standard Time)","26.00","26.50","24.95","26.45","59.14"
"Mon May 22 2023 14:00:00 GMT+0530 (India Standard Time)","26.65","28.30","26.50","27.60","63.03"
"Mon May 22 2023 14:01:00 GMT+0530 (India Standard Time)","27.65","28.50","27.50","27.80","63.68"
"Mon May 22 2023 14:02:00 GMT+0530 (India Standard Time)","28.15","28.25","25.05","26.70","57.70"
"Mon May 22 2023 14:03:00 GMT+0530 (India Standard Time)","26.90","29.85","26.70","29.15","65.48"
"Mon May 22 2023 14:04:00 GMT+0530 (India Standard Time)","29.25","30.80","28.90","29.75","67.07"
"Mon May 22 2023 14:05:00 GMT+0530 (India Standard Time)","30.40","30.90","27.85","29.00","63.14"
"Mon May 22 2023 14:06:00 GMT+0530 (India Standard Time)","29.00","29.15","26.65","27.45","55.85"
"Mon May 22 2023 14:07:00 GMT+0530 (India Standard Time)","27.60","28.85","26.20","26.65","52.49"
"Mon May 22 2023 14:08:00 GMT+0530 (India Standard Time)","26.85","26.95","24.80","26.70","52.68"
"Mon May 22 2023 14:09:00 GMT+0530 (India Standard Time)","26.90","28.15","26.60","27.25","54.84"
"Mon May 22 2023 14:10:00 GMT+0530 (India Standard Time)","27.20","28.40","26.95","27.50","55.83"
"Mon May 22 2023 14:11:00 GMT+0530 (India Standard Time)","27.45","29.10","27.00","28.50","59.63"
"Mon May 22 2023 14:12:00 GMT+0530 (India Standard Time)","28.70","32.20","27.90","31.65","68.76"
"Mon May 22 2023 14:13:00 GMT+0530 (India Standard Time)","31.75","32.00","30.00","31.40","67.45"
"Mon May 22 2023 14:14:00 GMT+0530 (India Standard Time)","31.50","32.00","29.45","31.55","67.85"
"Mon May 22 2023 14:15:00 GMT+0530 (India Standard Time)","32.00","33.45","31.10","33.40","72.30"
"Mon May 22 2023 14:16:00 GMT+0530 (India Standard Time)","33.30","33.95","31.60","32.70","68.44"
"Mon May 22 2023 14:17:00 GMT+0530 (India Standard Time)","32.95","32.95","30.50","31.25","61.15"
"Mon May 22 2023 14:18:00 GMT+0530 (India Standard Time)","31.15","32.70","30.85","32.50","64.65"
"Mon May 22 2023 14:19:00 GMT+0530 (India Standard Time)","32.90","33.05","31.50","32.40","64.15"
"Mon May 22 2023 14:20:00 GMT+0530 (India Standard Time)","32.55","33.35","32.35","32.85","65.44"
"Mon May 22 2023 14:21:00 GMT+0530 (India Standard Time)","33.00","34.20","31.20","32.15","61.72"
"Mon May 22 2023 14:22:00 GMT+0530 (India Standard Time)","31.85","32.10","29.05","30.40","53.54"
"Mon May 22 2023 14:23:00 GMT+0530 (India Standard Time)","30.35","31.60","27.50","27.90","44.47"
"Mon May 22 2023 14:24:00 GMT+0530 (India Standard Time)","28.15","28.50","27.10","27.90","44.47"
"Mon May 22 2023 14:25:00 GMT+0530 (India Standard Time)","28.00","28.40","24.85","26.25","39.37"
"Mon May 22 2023 14:26:00 GMT+0530 (India Standard Time)","26.40","27.30","26.00","26.00","38.64"
"Mon May 22 2023 14:27:00 GMT+0530 (India Standard Time)","26.00","26.70","25.10","26.20","39.60"
"Mon May 22 2023 14:28:00 GMT+0530 (India Standard Time)","26.15","26.20","24.15","24.25","34.03"
"Mon May 22 2023 14:29:00 GMT+0530 (India Standard Time)","24.15","24.45","22.40","24.40","34.79"
"Mon May 22 2023 14:30:00 GMT+0530 (India Standard Time)","24.05","26.65","24.05","26.00","42.41"
"Mon May 22 2023 14:31:00 GMT+0530 (India Standard Time)","25.90","28.30","25.50","27.05","46.80"
"Mon May 22 2023 14:32:00 GMT+0530 (India Standard Time)","26.80","28.90","26.80","28.20","51.19"
