"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Mon May 22 2023 15:17:00 GMT+0530 (India Standard Time)","19396.75","19398.40","19389.70","19390.65","53.43"
"Mon May 22 2023 15:18:00 GMT+0530 (India Standard Time)","19389.85","19401.20","19384.00","19399.45","57.57"
"Mon May 22 2023 15:19:00 GMT+0530 (India Standard Time)","19401.80","19403.20","19394.35","19394.35","54.54"
"Mon May 22 2023 15:20:00 GMT+0530 (India Standard Time)","19394.35","19397.75","19389.20","19391.25","52.73"
"Mon May 22 2023 15:21:00 GMT+0530 (India Standard Time)","19391.00","19391.00","19365.65","19369.50","42.14"
"Mon May 22 2023 15:22:00 GMT+0530 (India Standard Time)","19368.45","19371.80","19367.30","19371.35","43.18"
"Mon May 22 2023 15:23:00 GMT+0530 (India Standard Time)","19371.25","19371.25","19360.85","19361.10","38.98"
"Mon May 22 2023 15:24:00 GMT+0530 (India Standard Time)","19361.00","19371.65","19359.50","19370.00","44.07"
"Mon May 22 2023 15:25:00 GMT+0530 (India Standard Time)","19368.20","19370.45","19366.85","19367.55","43.01"
"Mon May 22 2023 15:26:00 GMT+0530 (India Standard Time)","19367.35","19368.15","19359.70","19365.55","42.11"
"Mon May 22 2023 15:27:00 GMT+0530 (India Standard Time)","19363.95","19376.40","19361.80","19372.40","46.23"
"Mon May 22 2023 15:28:00 GMT+0530 (India Standard Time)","19371.30","19373.75","19357.90","19359.95","40.58"
"Mon May 22 2023 15:29:00 GMT+0530 (India Standard Time)","19360.45","19369.75","19360.45","19364.70","43.42"
"Tue May 23 2023 09:15:00 GMT+0530 (India Standard Time)","19437.15","19437.15","19407.45","19422.75","65.28"
"Tue May 23 2023 09:16:00 GMT+0530 (India Standard Time)","19422.45","19422.45","19396.45","19396.45","54.93"
"Tue May 23 2023 09:17:00 GMT+0530 (India Standard Time)","19398.85","19420.95","19396.20","19420.95","61.11"
"Tue May 23 2023 09:18:00 GMT+0530 (India Standard Time)","19423.40","19437.55","19422.45","19428.20","62.74"
"Tue May 23 2023 09:19:00 GMT+0530 (India Standard Time)","19428.90","19431.75","19418.40","19428.05","62.68"
"Tue May 23 2023 09:20:00 GMT+0530 (India Standard Time)","19427.40","19427.75","19411.55","19411.55","56.45"
"Tue May 23 2023 09:21:00 GMT+0530 (India Standard Time)","19409.80","19410.50","19397.25","19405.40","54.28"
"Tue May 23 2023 09:22:00 GMT+0530 (India Standard Time)","19410.50","19410.50","19398.50","19402.50","53.24"
"Tue May 23 2023 09:23:00 GMT+0530 (India Standard Time)","19401.70","19410.90","19401.70","19402.15","53.11"
"Tue May 23 2023 09:24:00 GMT+0530 (India Standard Time)","19402.45","19410.85","19395.95","19406.05","54.46"
"Tue May 23 2023 09:25:00 GMT+0530 (India Standard Time)","19405.70","19409.95","19400.60","19409.35","55.63"
"Tue May 23 2023 09:26:00 GMT+0530 (India Standard Time)","19407.15","19430.65","19407.15","19417.65","58.52"
"Tue May 23 2023 09:27:00 GMT+0530 (India Standard Time)","19418.90","19430.95","19416.65","19426.85","61.50"
"Tue May 23 2023 09:28:00 GMT+0530 (India Standard Time)","19428.65","19428.65","19410.35","19410.35","53.99"
"Tue May 23 2023 09:29:00 GMT+0530 (India Standard Time)","19410.55","19413.15","19400.65","19409.55","53.65"
"Tue May 23 2023 09:30:00 GMT+0530 (India Standard Time)","19408.70","19430.25","19408.70","19430.25","60.61"
"Tue May 23 2023 09:31:00 GMT+0530 (India Standard Time)","19430.20","19436.85","19422.15","19426.85","59.04"
"Tue May 23 2023 09:32:00 GMT+0530 (India Standard Time)","19429.15","19434.45","19427.10","19431.00","60.38"
"Tue May 23 2023 09:33:00 GMT+0530 (India Standard Time)","19429.95","19432.85","19427.30","19429.85","59.80"
"Tue May 23 2023 09:34:00 GMT+0530 (India Standard Time)","19430.00","19437.85","19427.30","19428.35","58.99"
"Tue May 23 2023 09:35:00 GMT+0530 (India Standard Time)","19427.55","19429.80","19403.75","19410.70","50.40"
"Tue May 23 2023 09:36:00 GMT+0530 (India Standard Time)","19413.95","19417.60","19408.30","19411.45","50.73"
"Tue May 23 2023 09:37:00 GMT+0530 (India Standard Time)","19411.25","19416.85","19407.95","19416.05","52.79"
"Tue May 23 2023 09:38:00 GMT+0530 (India Standard Time)","19413.65","19421.20","19409.30","19418.15","53.74"
"Tue May 23 2023 09:39:00 GMT+0530 (India Standard Time)","19418.50","19419.45","19415.40","19415.50","52.31"
"Tue May 23 2023 09:40:00 GMT+0530 (India Standard Time)","19416.65","19418.80","19414.00","19418.80","53.96"
"Tue May 23 2023 09:41:00 GMT+0530 (India Standard Time)","19416.60","19430.75","19416.10","19429.15","58.77"
"Tue May 23 2023 09:42:00 GMT+0530 (India Standard Time)","19428.20","19433.90","19424.85","19433.90","60.80"
"Tue May 23 2023 09:43:00 GMT+0530 (India Standard Time)","19432.75","19436.65","19425.00","19427.70","56.87"
"Tue May 23 2023 09:44:00 GMT+0530 (India Standard Time)","19433.85","19434.85","19425.10","19427.15","56.52"
"Tue May 23 2023 09:45:00 GMT+0530 (India Standard Time)","19429.45","19432.60","19424.45","19426.90","56.35"
"Tue May 23 2023 09:46:00 GMT+0530 (India Standard Time)","19428.55","19430.45","19423.55","19424.90","54.94"
"Tue May 23 2023 09:47:00 GMT+0530 (India Standard Time)","19426.85","19429.85","19424.90","19427.30","56.35"
"Tue May 23 2023 09:48:00 GMT+0530 (India Standard Time)","19428.15","19428.20","19404.85","19405.60","43.13"
"Tue May 23 2023 09:49:00 GMT+0530 (India Standard Time)","19404.30","19421.95","19402.60","19419.15","50.88"
"Tue May 23 2023 09:50:00 GMT+0530 (India Standard Time)","19419.85","19421.15","19400.15","19402.85","43.25"
"Tue May 23 2023 09:51:00 GMT+0530 (India Standard Time)","19403.00","19418.15","19403.00","19409.90","46.96"
"Tue May 23 2023 09:52:00 GMT+0530 (India Standard Time)","19408.20","19416.70","19407.90","19411.25","47.66"
"Tue May 23 2023 09:53:00 GMT+0530 (India Standard Time)","19416.80","19423.80","19413.95","19418.20","51.25"
"Tue May 23 2023 09:54:00 GMT+0530 (India Standard Time)","19419.95","19420.10","19414.20","19417.95","51.12"
"Tue May 23 2023 09:55:00 GMT+0530 (India Standard Time)","19417.30","19436.55","19415.75","19433.65","58.55"
"Tue May 23 2023 09:56:00 GMT+0530 (India Standard Time)","19433.60","19434.80","19425.55","19430.60","56.74"
"Tue May 23 2023 09:57:00 GMT+0530 (India Standard Time)","19433.05","19433.50","19428.30","19431.35","57.09"
"Tue May 23 2023 09:58:00 GMT+0530 (India Standard Time)","19431.25","19434.55","19425.15","19426.70","54.17"
"Tue May 23 2023 09:59:00 GMT+0530 (India Standard Time)","19427.25","19430.75","19425.35","19428.85","55.31"
"Tue May 23 2023 10:00:00 GMT+0530 (India Standard Time)","19428.70","19437.00","19428.70","19432.45","57.23"
"Tue May 23 2023 10:01:00 GMT+0530 (India Standard Time)","19433.25","19434.00","19410.85","19413.25","45.90"
"Tue May 23 2023 10:02:00 GMT+0530 (India Standard Time)","19411.20","19423.65","19411.20","19413.65","46.14"
"Tue May 23 2023 10:03:00 GMT+0530 (India Standard Time)","19417.30","19426.20","19415.85","19425.60","52.85"
"Tue May 23 2023 10:04:00 GMT+0530 (India Standard Time)","19425.05","19428.30","19408.50","19409.50","44.76"
"Tue May 23 2023 10:05:00 GMT+0530 (India Standard Time)","19410.95","19420.45","19410.70","19415.20","47.80"
"Tue May 23 2023 10:06:00 GMT+0530 (India Standard Time)","19416.55","19431.45","19414.95","19422.65","51.56"
"Tue May 23 2023 10:07:00 GMT+0530 (India Standard Time)","19423.00","19423.50","19419.00","19420.80","50.59"
"Tue May 23 2023 10:08:00 GMT+0530 (India Standard Time)","19420.65","19425.65","19419.70","19420.30","50.31"
"Tue May 23 2023 10:09:00 GMT+0530 (India Standard Time)","19420.10","19423.85","19416.95","19419.90","50.08"
"Tue May 23 2023 10:10:00 GMT+0530 (India Standard Time)","19420.65","19426.85","19416.00","19426.50","53.92"
"Tue May 23 2023 10:11:00 GMT+0530 (India Standard Time)","19426.50","19427.05","19419.25","19420.30","50.02"
"Tue May 23 2023 10:12:00 GMT+0530 (India Standard Time)","19420.80","19423.20","19414.55","19415.35","47.10"
"Tue May 23 2023 10:13:00 GMT+0530 (India Standard Time)","19415.70","19419.40","19415.40","19417.40","48.44"
"Tue May 23 2023 10:14:00 GMT+0530 (India Standard Time)","19416.45","19418.85","19412.10","19412.95","45.73"
"Tue May 23 2023 10:15:00 GMT+0530 (India Standard Time)","19413.50","19418.85","19413.50","19417.60","48.95"
"Tue May 23 2023 10:16:00 GMT+0530 (India Standard Time)","19417.55","19422.55","19405.60","19412.05","45.48"
"Tue May 23 2023 10:17:00 GMT+0530 (India Standard Time)","19412.00","19415.80","19409.20","19415.20","47.74"
"Tue May 23 2023 10:18:00 GMT+0530 (India Standard Time)","19413.15","19415.20","19406.00","19408.80","43.77"
"Tue May 23 2023 10:19:00 GMT+0530 (India Standard Time)","19408.30","19409.65","19401.65","19406.85","42.60"
"Tue May 23 2023 10:20:00 GMT+0530 (India Standard Time)","19407.00","19411.10","19407.00","19409.15","44.48"
"Tue May 23 2023 10:21:00 GMT+0530 (India Standard Time)","19409.00","19412.65","19406.95","19409.35","44.65"
"Tue May 23 2023 10:22:00 GMT+0530 (India Standard Time)","19409.75","19410.85","19405.60","19410.85","45.98"
"Tue May 23 2023 10:23:00 GMT+0530 (India Standard Time)","19410.85","19418.20","19410.85","19415.05","49.63"
"Tue May 23 2023 10:24:00 GMT+0530 (India Standard Time)","19415.70","19420.65","19414.30","19419.60","53.32"
"Tue May 23 2023 10:25:00 GMT+0530 (India Standard Time)","19419.90","19424.70","19418.10","19424.70","57.10"
"Tue May 23 2023 10:26:00 GMT+0530 (India Standard Time)","19423.95","19427.70","19420.55","19425.50","57.68"
"Tue May 23 2023 10:27:00 GMT+0530 (India Standard Time)","19422.05","19432.15","19418.65","19418.70","51.33"
"Tue May 23 2023 10:28:00 GMT+0530 (India Standard Time)","19417.80","19421.70","19417.05","19417.90","50.62"
"Tue May 23 2023 10:29:00 GMT+0530 (India Standard Time)","19418.05","19421.10","19417.40","19418.95","51.57"
"Tue May 23 2023 10:30:00 GMT+0530 (India Standard Time)","19418.70","19420.35","19413.30","19414.50","47.44"
"Tue May 23 2023 10:31:00 GMT+0530 (India Standard Time)","19415.30","19419.15","19415.30","19416.55","49.45"
"Tue May 23 2023 10:32:00 GMT+0530 (India Standard Time)","19415.85","19419.25","19415.60","19418.55","51.40"
"Tue May 23 2023 10:33:00 GMT+0530 (India Standard Time)","19417.70","19428.70","19417.70","19419.25","52.09"
"Tue May 23 2023 10:34:00 GMT+0530 (India Standard Time)","19419.40","19427.00","19416.80","19425.45","57.86"
"Tue May 23 2023 10:35:00 GMT+0530 (India Standard Time)","19426.10","19427.45","19414.70","19414.70","47.24"
"Tue May 23 2023 10:36:00 GMT+0530 (India Standard Time)","19416.75","19421.75","19413.90","19420.20","52.09"
"Tue May 23 2023 10:37:00 GMT+0530 (India Standard Time)","19419.55","19425.15","19418.05","19421.90","53.51"
"Tue May 23 2023 10:38:00 GMT+0530 (India Standard Time)","19421.70","19424.35","19419.40","19421.50","53.11"
"Tue May 23 2023 10:39:00 GMT+0530 (India Standard Time)","19420.30","19428.60","19419.35","19424.75","55.98"
"Tue May 23 2023 10:40:00 GMT+0530 (India Standard Time)","19423.55","19429.40","19423.30","19427.75","58.51"
"Tue May 23 2023 10:41:00 GMT+0530 (India Standard Time)","19428.70","19433.65","19426.60","19427.50","58.21"
"Tue May 23 2023 10:42:00 GMT+0530 (India Standard Time)","19427.70","19431.55","19427.70","19431.50","61.60"
"Tue May 23 2023 10:43:00 GMT+0530 (India Standard Time)","19431.60","19440.30","19431.00","19432.25","62.22"
"Tue May 23 2023 10:44:00 GMT+0530 (India Standard Time)","19433.80","19437.05","19432.55","19434.50","64.09"
"Tue May 23 2023 10:45:00 GMT+0530 (India Standard Time)","19434.10","19440.80","19434.10","19438.75","67.37"
"Tue May 23 2023 10:46:00 GMT+0530 (India Standard Time)","19439.50","19440.95","19437.10","19440.65","68.75"
"Tue May 23 2023 10:47:00 GMT+0530 (India Standard Time)","19440.30","19442.30","19439.85","19441.70","69.52"
"Tue May 23 2023 10:48:00 GMT+0530 (India Standard Time)","19441.95","19443.00","19439.05","19443.00","70.48"
"Tue May 23 2023 10:49:00 GMT+0530 (India Standard Time)","19442.50","19450.15","19442.05","19450.15","75.14"
"Tue May 23 2023 10:50:00 GMT+0530 (India Standard Time)","19449.15","19451.35","19441.20","19441.90","62.82"
"Tue May 23 2023 10:51:00 GMT+0530 (India Standard Time)","19441.90","19444.70","19441.00","19443.25","63.87"
"Tue May 23 2023 10:52:00 GMT+0530 (India Standard Time)","19442.45","19444.55","19440.45","19442.50","62.81"
"Tue May 23 2023 10:53:00 GMT+0530 (India Standard Time)","19442.75","19444.80","19440.85","19442.00","62.07"
"Tue May 23 2023 10:54:00 GMT+0530 (India Standard Time)","19442.40","19447.65","19440.60","19442.45","62.50"
"Tue May 23 2023 10:55:00 GMT+0530 (India Standard Time)","19442.55","19443.85","19438.55","19442.30","62.25"
"Tue May 23 2023 10:56:00 GMT+0530 (India Standard Time)","19443.05","19444.95","19440.10","19441.50","60.85"
"Tue May 23 2023 10:57:00 GMT+0530 (India Standard Time)","19441.95","19443.85","19438.55","19438.70","56.08"
