"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 24 2023 14:38:00 GMT+0530 (India Standard Time)","32.75","34.05","32.10","33.80","49.30"
"Wed May 24 2023 14:39:00 GMT+0530 (India Standard Time)","33.80","34.00","32.00","32.00","43.91"
"Wed May 24 2023 14:40:00 GMT+0530 (India Standard Time)","32.10","32.90","28.60","28.75","36.21"
"Wed May 24 2023 14:41:00 GMT+0530 (India Standard Time)","28.40","29.20","19.60","19.80","23.83"
"Wed May 24 2023 14:42:00 GMT+0530 (India Standard Time)","19.55","21.30","19.10","20.85","26.98"
"Wed May 24 2023 14:43:00 GMT+0530 (India Standard Time)","20.90","21.40","17.60","18.05","24.11"
"Wed May 24 2023 14:44:00 GMT+0530 (India Standard Time)","18.60","19.30","17.95","18.40","25.18"
"Wed May 24 2023 14:45:00 GMT+0530 (India Standard Time)","18.30","18.85","16.00","16.00","22.81"
"Wed May 24 2023 14:46:00 GMT+0530 (India Standard Time)","15.90","16.80","15.10","15.15","22.01"
"Wed May 24 2023 14:47:00 GMT+0530 (India Standard Time)","14.95","16.60","14.65","16.00","24.83"
"Wed May 24 2023 14:48:00 GMT+0530 (India Standard Time)","15.95","16.85","15.70","15.95","24.77"
"Wed May 24 2023 14:49:00 GMT+0530 (India Standard Time)","15.95","17.70","15.80","17.00","28.46"
"Wed May 24 2023 14:50:00 GMT+0530 (India Standard Time)","16.90","17.25","16.25","16.60","27.90"
"Wed May 24 2023 14:51:00 GMT+0530 (India Standard Time)","16.50","16.85","16.10","16.40","27.60"
"Wed May 24 2023 14:52:00 GMT+0530 (India Standard Time)","16.30","16.55","16.05","16.40","27.60"
"Wed May 24 2023 14:53:00 GMT+0530 (India Standard Time)","16.55","16.90","16.00","16.60","28.48"
"Wed May 24 2023 14:54:00 GMT+0530 (India Standard Time)","16.65","16.85","16.20","16.40","28.11"
"Wed May 24 2023 14:55:00 GMT+0530 (India Standard Time)","16.45","16.70","14.80","14.80","25.32"
"Wed May 24 2023 14:56:00 GMT+0530 (India Standard Time)","14.70","15.10","14.05","14.70","25.15"
"Wed May 24 2023 14:57:00 GMT+0530 (India Standard Time)","14.95","15.50","14.75","15.15","27.48"
"Wed May 24 2023 14:58:00 GMT+0530 (India Standard Time)","15.20","16.20","15.15","15.55","29.59"
"Wed May 24 2023 14:59:00 GMT+0530 (India Standard Time)","15.55","15.95","14.80","14.85","28.05"
"Wed May 24 2023 15:00:00 GMT+0530 (India Standard Time)","14.55","19.55","14.55","17.75","41.56"
"Wed May 24 2023 15:01:00 GMT+0530 (India Standard Time)","17.80","18.70","15.75","17.30","40.29"
"Wed May 24 2023 15:02:00 GMT+0530 (India Standard Time)","17.45","17.50","14.75","15.80","36.33"
"Wed May 24 2023 15:03:00 GMT+0530 (India Standard Time)","15.65","16.70","15.45","16.10","37.65"
"Wed May 24 2023 15:04:00 GMT+0530 (India Standard Time)","16.20","16.80","15.20","15.20","35.28"
"Wed May 24 2023 15:05:00 GMT+0530 (India Standard Time)","15.40","16.50","15.35","16.45","40.84"
"Wed May 24 2023 15:06:00 GMT+0530 (India Standard Time)","16.50","17.50","16.20","17.35","44.54"
"Wed May 24 2023 15:07:00 GMT+0530 (India Standard Time)","17.10","17.40","16.20","17.05","43.56"
"Wed May 24 2023 15:08:00 GMT+0530 (India Standard Time)","16.85","17.95","16.85","17.95","47.30"
"Wed May 24 2023 15:09:00 GMT+0530 (India Standard Time)","17.80","18.60","16.85","17.05","44.15"
"Wed May 24 2023 15:10:00 GMT+0530 (India Standard Time)","17.35","17.75","17.00","17.10","44.37"
"Wed May 24 2023 15:11:00 GMT+0530 (India Standard Time)","17.25","18.90","17.10","18.50","50.31"
"Wed May 24 2023 15:12:00 GMT+0530 (India Standard Time)","18.65","20.90","18.60","19.45","53.91"
"Wed May 24 2023 15:13:00 GMT+0530 (India Standard Time)","19.55","20.65","19.35","19.70","54.83"
"Wed May 24 2023 15:14:00 GMT+0530 (India Standard Time)","20.00","20.05","18.80","19.80","55.22"
"Wed May 24 2023 15:15:00 GMT+0530 (India Standard Time)","19.65","19.95","17.40","18.60","49.71"
"Wed May 24 2023 15:16:00 GMT+0530 (India Standard Time)","18.70","18.95","18.05","18.35","48.62"
"Wed May 24 2023 15:17:00 GMT+0530 (India Standard Time)","18.30","18.70","17.70","17.70","45.81"
"Wed May 24 2023 15:18:00 GMT+0530 (India Standard Time)","17.80","18.40","17.20","18.35","48.98"
"Wed May 24 2023 15:19:00 GMT+0530 (India Standard Time)","18.55","19.55","18.30","19.00","52.01"
"Wed May 24 2023 15:20:00 GMT+0530 (India Standard Time)","19.50","19.65","18.30","18.85","51.26"
"Wed May 24 2023 15:21:00 GMT+0530 (India Standard Time)","19.05","19.70","18.85","19.60","54.79"
"Wed May 24 2023 15:22:00 GMT+0530 (India Standard Time)","19.70","19.85","19.15","19.35","53.40"
"Wed May 24 2023 15:23:00 GMT+0530 (India Standard Time)","19.35","19.55","18.80","19.10","51.98"
"Wed May 24 2023 15:24:00 GMT+0530 (India Standard Time)","19.25","19.35","19.00","19.10","51.98"
"Wed May 24 2023 15:25:00 GMT+0530 (India Standard Time)","19.20","19.50","18.85","19.10","51.98"
"Wed May 24 2023 15:26:00 GMT+0530 (India Standard Time)","19.30","20.00","19.25","20.00","57.11"
"Wed May 24 2023 15:27:00 GMT+0530 (India Standard Time)","20.00","20.60","19.90","20.55","59.93"
"Wed May 24 2023 15:28:00 GMT+0530 (India Standard Time)","20.65","21.00","20.25","20.60","60.19"
"Wed May 24 2023 15:29:00 GMT+0530 (India Standard Time)","20.50","21.00","20.50","20.75","61.00"
"Thu May 25 2023 09:15:00 GMT+0530 (India Standard Time)","9.85","12.60","8.55","10.45","24.43"
"Thu May 25 2023 09:16:00 GMT+0530 (India Standard Time)","10.15","10.70","8.85","9.75","23.40"
"Thu May 25 2023 09:17:00 GMT+0530 (India Standard Time)","9.45","12.25","9.45","11.90","32.75"
"Thu May 25 2023 09:18:00 GMT+0530 (India Standard Time)","11.75","15.30","11.45","15.25","44.18"
"Thu May 25 2023 09:19:00 GMT+0530 (India Standard Time)","15.45","15.60","13.35","14.25","41.89"
"Thu May 25 2023 09:20:00 GMT+0530 (India Standard Time)","14.40","14.65","12.55","14.60","43.01"
"Thu May 25 2023 09:21:00 GMT+0530 (India Standard Time)","14.95","15.20","13.05","13.05","39.41"
"Thu May 25 2023 09:22:00 GMT+0530 (India Standard Time)","13.00","14.00","11.20","13.45","40.78"
"Thu May 25 2023 09:23:00 GMT+0530 (India Standard Time)","13.55","15.75","13.30","15.30","46.81"
"Thu May 25 2023 09:24:00 GMT+0530 (India Standard Time)","15.35","15.60","13.75","14.35","44.32"
"Thu May 25 2023 09:25:00 GMT+0530 (India Standard Time)","14.15","14.20","12.40","12.95","40.86"
"Thu May 25 2023 09:26:00 GMT+0530 (India Standard Time)","12.75","12.85","10.30","10.70","36.00"
"Thu May 25 2023 09:27:00 GMT+0530 (India Standard Time)","10.60","10.80","9.15","10.15","34.91"
"Thu May 25 2023 09:28:00 GMT+0530 (India Standard Time)","10.00","10.35","8.90","8.90","32.50"
"Thu May 25 2023 09:29:00 GMT+0530 (India Standard Time)","8.60","8.90","7.50","8.30","31.38"
"Thu May 25 2023 09:30:00 GMT+0530 (India Standard Time)","8.05","8.10","7.25","8.00","30.81"
"Thu May 25 2023 09:31:00 GMT+0530 (India Standard Time)","7.90","8.25","6.70","7.15","29.18"
"Thu May 25 2023 09:32:00 GMT+0530 (India Standard Time)","6.95","7.15","6.70","7.05","28.99"
"Thu May 25 2023 09:33:00 GMT+0530 (India Standard Time)","6.95","7.10","6.30","6.70","28.28"
"Thu May 25 2023 09:34:00 GMT+0530 (India Standard Time)","6.80","6.80","6.25","6.70","28.28"
"Thu May 25 2023 09:35:00 GMT+0530 (India Standard Time)","6.50","6.60","5.55","5.60","25.97"
"Thu May 25 2023 09:36:00 GMT+0530 (India Standard Time)","5.55","6.30","5.50","6.20","29.36"
"Thu May 25 2023 09:37:00 GMT+0530 (India Standard Time)","5.95","6.20","5.70","5.85","28.54"
"Thu May 25 2023 09:38:00 GMT+0530 (India Standard Time)","5.90","6.25","5.80","6.10","30.04"
"Thu May 25 2023 09:39:00 GMT+0530 (India Standard Time)","5.95","6.15","5.75","6.15","30.36"
"Thu May 25 2023 09:40:00 GMT+0530 (India Standard Time)","6.15","7.00","5.95","6.80","34.50"
"Thu May 25 2023 09:41:00 GMT+0530 (India Standard Time)","6.90","7.00","6.45","6.70","34.16"
"Thu May 25 2023 09:42:00 GMT+0530 (India Standard Time)","6.70","7.10","6.55","6.95","35.85"
"Thu May 25 2023 09:43:00 GMT+0530 (India Standard Time)","6.85","9.25","6.85","8.90","47.19"
"Thu May 25 2023 09:44:00 GMT+0530 (India Standard Time)","8.90","9.40","8.05","9.30","49.18"
"Thu May 25 2023 09:45:00 GMT+0530 (India Standard Time)","9.60","10.60","9.40","9.70","51.16"
"Thu May 25 2023 09:46:00 GMT+0530 (India Standard Time)","9.65","10.45","9.20","9.85","51.91"
"Thu May 25 2023 09:47:00 GMT+0530 (India Standard Time)","10.05","10.50","8.50","10.10","53.21"
"Thu May 25 2023 09:48:00 GMT+0530 (India Standard Time)","10.20","12.35","10.00","11.20","58.52"
"Thu May 25 2023 09:49:00 GMT+0530 (India Standard Time)","11.60","12.40","11.00","12.10","62.29"
"Thu May 25 2023 09:50:00 GMT+0530 (India Standard Time)","12.30","12.55","11.05","11.50","58.48"
"Thu May 25 2023 09:51:00 GMT+0530 (India Standard Time)","11.65","15.10","11.45","14.75","69.41"
"Thu May 25 2023 09:52:00 GMT+0530 (India Standard Time)","14.55","15.10","12.25","12.25","56.98"
"Thu May 25 2023 09:53:00 GMT+0530 (India Standard Time)","12.35","13.50","11.75","13.25","60.06"
"Thu May 25 2023 09:54:00 GMT+0530 (India Standard Time)","13.15","14.25","12.50","12.75","57.83"
"Thu May 25 2023 09:55:00 GMT+0530 (India Standard Time)","12.95","13.15","9.75","9.75","46.64"
"Thu May 25 2023 09:56:00 GMT+0530 (India Standard Time)","9.55","9.90","8.80","9.10","44.63"
"Thu May 25 2023 09:57:00 GMT+0530 (India Standard Time)","9.05","9.20","8.10","8.50","42.79"
"Thu May 25 2023 09:58:00 GMT+0530 (India Standard Time)","8.30","8.95","7.90","8.85","44.23"
"Thu May 25 2023 09:59:00 GMT+0530 (India Standard Time)","8.90","9.20","8.35","8.55","43.23"
"Thu May 25 2023 10:00:00 GMT+0530 (India Standard Time)","8.50","8.55","7.00","7.45","39.66"
"Thu May 25 2023 10:01:00 GMT+0530 (India Standard Time)","7.30","7.75","7.05","7.65","40.62"
"Thu May 25 2023 10:02:00 GMT+0530 (India Standard Time)","7.50","8.35","7.40","7.90","41.86"
"Thu May 25 2023 10:03:00 GMT+0530 (India Standard Time)","7.90","8.30","7.50","7.80","41.49"
"Thu May 25 2023 10:04:00 GMT+0530 (India Standard Time)","7.70","8.80","7.60","8.50","45.18"
"Thu May 25 2023 10:05:00 GMT+0530 (India Standard Time)","8.55","8.85","8.20","8.80","46.73"
"Thu May 25 2023 10:06:00 GMT+0530 (India Standard Time)","8.60","11.25","8.20","10.30","53.78"
"Thu May 25 2023 10:07:00 GMT+0530 (India Standard Time)","10.30","11.00","9.75","10.00","52.29"
"Thu May 25 2023 10:08:00 GMT+0530 (India Standard Time)","10.10","10.10","5.60","6.05","37.54"
"Thu May 25 2023 10:09:00 GMT+0530 (India Standard Time)","5.70","6.50","5.30","6.40","39.18"
"Thu May 25 2023 10:10:00 GMT+0530 (India Standard Time)","6.10","6.40","5.50","6.05","38.11"
"Thu May 25 2023 10:11:00 GMT+0530 (India Standard Time)","6.00","6.90","5.90","6.40","39.88"
