"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 24 2023 13:29:00 GMT+0530 (India Standard Time)","26.00","26.20","24.45","24.45","42.91"
"Wed May 24 2023 13:30:00 GMT+0530 (India Standard Time)","24.65","24.85","22.50","23.95","40.97"
"Wed May 24 2023 13:31:00 GMT+0530 (India Standard Time)","24.15","24.20","22.60","22.70","36.51"
"Wed May 24 2023 13:32:00 GMT+0530 (India Standard Time)","22.45","22.65","21.40","22.00","34.26"
"Wed May 24 2023 13:33:00 GMT+0530 (India Standard Time)","22.05","22.05","20.80","21.25","31.99"
"Wed May 24 2023 13:34:00 GMT+0530 (India Standard Time)","21.10","22.35","20.95","21.70","34.78"
"Wed May 24 2023 13:35:00 GMT+0530 (India Standard Time)","21.70","22.10","21.05","21.70","34.78"
"Wed May 24 2023 13:36:00 GMT+0530 (India Standard Time)","21.75","21.80","21.05","21.70","34.78"
"Wed May 24 2023 13:37:00 GMT+0530 (India Standard Time)","21.70","21.85","21.10","21.80","35.52"
"Wed May 24 2023 13:38:00 GMT+0530 (India Standard Time)","21.70","21.85","19.65","19.85","28.71"
"Wed May 24 2023 13:39:00 GMT+0530 (India Standard Time)","19.75","20.60","19.50","19.50","27.69"
"Wed May 24 2023 13:40:00 GMT+0530 (India Standard Time)","19.50","19.50","17.70","18.20","24.23"
"Wed May 24 2023 13:41:00 GMT+0530 (India Standard Time)","18.05","19.00","17.95","18.70","27.96"
"Wed May 24 2023 13:42:00 GMT+0530 (India Standard Time)","18.85","19.85","18.25","19.85","35.79"
"Wed May 24 2023 13:43:00 GMT+0530 (India Standard Time)","20.05","21.10","19.85","20.40","39.19"
"Wed May 24 2023 13:44:00 GMT+0530 (India Standard Time)","20.50","21.50","20.15","21.30","44.38"
"Wed May 24 2023 13:45:00 GMT+0530 (India Standard Time)","21.45","26.55","21.30","24.55","58.25"
"Wed May 24 2023 13:46:00 GMT+0530 (India Standard Time)","24.55","25.55","23.95","24.05","55.94"
"Wed May 24 2023 13:47:00 GMT+0530 (India Standard Time)","24.10","24.60","23.55","23.80","54.77"
"Wed May 24 2023 13:48:00 GMT+0530 (India Standard Time)","23.80","24.05","22.75","22.90","50.66"
"Wed May 24 2023 13:49:00 GMT+0530 (India Standard Time)","22.50","23.75","22.20","23.30","52.37"
"Wed May 24 2023 13:50:00 GMT+0530 (India Standard Time)","23.35","25.00","23.05","24.80","58.22"
"Wed May 24 2023 13:51:00 GMT+0530 (India Standard Time)","24.90","25.30","23.80","24.20","55.29"
"Wed May 24 2023 13:52:00 GMT+0530 (India Standard Time)","24.20","25.40","24.15","25.05","58.48"
"Wed May 24 2023 13:53:00 GMT+0530 (India Standard Time)","25.20","25.40","24.35","24.55","55.95"
"Wed May 24 2023 13:54:00 GMT+0530 (India Standard Time)","24.45","24.80","23.05","23.30","50.13"
"Wed May 24 2023 13:55:00 GMT+0530 (India Standard Time)","23.30","23.50","21.65","22.70","47.57"
"Wed May 24 2023 13:56:00 GMT+0530 (India Standard Time)","22.50","23.05","21.95","22.65","47.35"
"Wed May 24 2023 13:57:00 GMT+0530 (India Standard Time)","22.45","24.30","22.10","23.90","53.11"
"Wed May 24 2023 13:58:00 GMT+0530 (India Standard Time)","24.05","24.90","23.75","24.50","55.62"
"Wed May 24 2023 13:59:00 GMT+0530 (India Standard Time)","24.40","24.85","24.05","24.45","55.35"
"Wed May 24 2023 14:00:00 GMT+0530 (India Standard Time)","24.50","25.30","24.35","24.95","57.54"
"Wed May 24 2023 14:01:00 GMT+0530 (India Standard Time)","24.80","25.75","23.90","24.45","54.66"
"Wed May 24 2023 14:02:00 GMT+0530 (India Standard Time)","24.10","25.30","23.70","25.25","58.26"
"Wed May 24 2023 14:03:00 GMT+0530 (India Standard Time)","25.30","26.35","24.60","26.30","62.47"
"Wed May 24 2023 14:04:00 GMT+0530 (India Standard Time)","26.80","27.55","25.75","26.35","62.67"
"Wed May 24 2023 14:05:00 GMT+0530 (India Standard Time)","26.80","27.10","25.15","25.65","58.15"
"Wed May 24 2023 14:06:00 GMT+0530 (India Standard Time)","25.80","25.80","24.75","25.35","56.28"
"Wed May 24 2023 14:07:00 GMT+0530 (India Standard Time)","25.35","25.50","24.75","25.35","56.28"
"Wed May 24 2023 14:08:00 GMT+0530 (India Standard Time)","25.30","25.40","23.00","24.00","48.19"
"Wed May 24 2023 14:09:00 GMT+0530 (India Standard Time)","24.00","24.10","21.95","22.10","39.56"
"Wed May 24 2023 14:10:00 GMT+0530 (India Standard Time)","22.20","23.95","21.90","23.15","45.38"
"Wed May 24 2023 14:11:00 GMT+0530 (India Standard Time)","23.20","23.50","22.30","22.65","43.25"
"Wed May 24 2023 14:12:00 GMT+0530 (India Standard Time)","22.60","22.80","21.90","22.30","41.77"
"Wed May 24 2023 14:13:00 GMT+0530 (India Standard Time)","22.30","22.35","20.75","21.10","37.08"
"Wed May 24 2023 14:14:00 GMT+0530 (India Standard Time)","21.00","21.75","19.35","19.45","31.79"
"Wed May 24 2023 14:15:00 GMT+0530 (India Standard Time)","19.70","20.30","19.10","19.55","32.42"
"Wed May 24 2023 14:16:00 GMT+0530 (India Standard Time)","19.60","19.70","18.05","18.45","29.23"
"Wed May 24 2023 14:17:00 GMT+0530 (India Standard Time)","18.55","19.30","18.10","18.30","28.81"
"Wed May 24 2023 14:18:00 GMT+0530 (India Standard Time)","18.35","20.30","18.20","20.10","39.88"
"Wed May 24 2023 14:19:00 GMT+0530 (India Standard Time)","19.95","21.50","19.80","21.25","45.69"
"Wed May 24 2023 14:20:00 GMT+0530 (India Standard Time)","21.10","22.20","20.15","22.10","49.57"
"Wed May 24 2023 14:21:00 GMT+0530 (India Standard Time)","22.05","22.75","20.75","22.75","52.38"
"Wed May 24 2023 14:22:00 GMT+0530 (India Standard Time)","22.70","22.70","21.60","22.05","49.20"
"Wed May 24 2023 14:23:00 GMT+0530 (India Standard Time)","21.95","22.60","21.05","21.40","46.40"
"Wed May 24 2023 14:24:00 GMT+0530 (India Standard Time)","21.15","21.50","20.60","21.35","46.18"
"Wed May 24 2023 14:25:00 GMT+0530 (India Standard Time)","21.40","21.50","20.75","21.30","45.94"
"Wed May 24 2023 14:26:00 GMT+0530 (India Standard Time)","21.25","21.45","20.65","20.95","44.26"
"Wed May 24 2023 14:27:00 GMT+0530 (India Standard Time)","21.15","22.10","20.90","21.80","49.13"
"Wed May 24 2023 14:28:00 GMT+0530 (India Standard Time)","21.70","21.80","18.55","19.45","38.99"
"Wed May 24 2023 14:29:00 GMT+0530 (India Standard Time)","19.35","19.80","19.00","19.35","38.62"
"Wed May 24 2023 14:30:00 GMT+0530 (India Standard Time)","19.35","19.50","16.70","16.80","30.71"
"Wed May 24 2023 14:31:00 GMT+0530 (India Standard Time)","17.10","17.10","14.80","16.55","30.06"
"Wed May 24 2023 14:32:00 GMT+0530 (India Standard Time)","16.65","16.95","16.00","16.60","30.38"
"Wed May 24 2023 14:33:00 GMT+0530 (India Standard Time)","16.60","16.75","15.50","16.40","29.80"
"Wed May 24 2023 14:34:00 GMT+0530 (India Standard Time)","16.15","16.70","15.70","15.90","28.34"
"Wed May 24 2023 14:35:00 GMT+0530 (India Standard Time)","15.65","16.10","15.35","15.90","28.34"
"Wed May 24 2023 14:36:00 GMT+0530 (India Standard Time)","15.95","17.45","15.85","17.15","37.26"
"Wed May 24 2023 14:37:00 GMT+0530 (India Standard Time)","17.35","19.00","17.25","18.15","43.34"
"Wed May 24 2023 14:38:00 GMT+0530 (India Standard Time)","18.30","18.85","17.65","17.80","41.82"
"Wed May 24 2023 14:39:00 GMT+0530 (India Standard Time)","17.80","18.75","17.75","18.75","47.25"
"Wed May 24 2023 14:40:00 GMT+0530 (India Standard Time)","18.55","21.30","18.10","21.25","58.29"
"Wed May 24 2023 14:41:00 GMT+0530 (India Standard Time)","21.35","29.65","20.80","28.65","74.98"
"Wed May 24 2023 14:42:00 GMT+0530 (India Standard Time)","28.95","29.40","26.55","27.50","70.27"
"Wed May 24 2023 14:43:00 GMT+0530 (India Standard Time)","27.85","32.95","26.90","32.30","76.82"
"Wed May 24 2023 14:44:00 GMT+0530 (India Standard Time)","31.90","32.70","30.45","31.80","74.97"
"Wed May 24 2023 14:45:00 GMT+0530 (India Standard Time)","32.35","35.80","31.80","35.25","78.77"
"Wed May 24 2023 14:46:00 GMT+0530 (India Standard Time)","35.50","36.60","32.80","36.10","79.59"
"Wed May 24 2023 14:47:00 GMT+0530 (India Standard Time)","36.70","37.25","31.50","33.05","69.23"
"Wed May 24 2023 14:48:00 GMT+0530 (India Standard Time)","33.20","34.75","32.55","33.65","70.05"
"Wed May 24 2023 14:49:00 GMT+0530 (India Standard Time)","33.95","33.95","29.20","30.85","61.73"
"Wed May 24 2023 14:50:00 GMT+0530 (India Standard Time)","31.00","32.20","30.20","31.40","62.67"
"Wed May 24 2023 14:51:00 GMT+0530 (India Standard Time)","31.50","32.15","30.40","31.55","62.93"
"Wed May 24 2023 14:52:00 GMT+0530 (India Standard Time)","31.75","33.00","31.30","31.45","62.61"
"Wed May 24 2023 14:53:00 GMT+0530 (India Standard Time)","30.90","32.45","30.65","31.75","63.22"
"Wed May 24 2023 14:54:00 GMT+0530 (India Standard Time)","31.65","32.35","30.70","31.65","62.85"
"Wed May 24 2023 14:55:00 GMT+0530 (India Standard Time)","31.45","33.65","30.90","33.50","66.70"
"Wed May 24 2023 14:56:00 GMT+0530 (India Standard Time)","33.65","35.10","32.70","33.25","65.71"
"Wed May 24 2023 14:57:00 GMT+0530 (India Standard Time)","32.65","34.00","31.40","32.80","63.87"
"Wed May 24 2023 14:58:00 GMT+0530 (India Standard Time)","32.60","32.75","30.50","31.65","59.31"
"Wed May 24 2023 14:59:00 GMT+0530 (India Standard Time)","31.95","33.10","31.00","33.00","62.68"
"Wed May 24 2023 15:00:00 GMT+0530 (India Standard Time)","33.60","33.60","23.85","26.15","43.15"
"Wed May 24 2023 15:01:00 GMT+0530 (India Standard Time)","26.55","29.40","25.45","27.05","45.55"
"Wed May 24 2023 15:02:00 GMT+0530 (India Standard Time)","26.95","32.15","26.70","29.95","52.51"
"Wed May 24 2023 15:03:00 GMT+0530 (India Standard Time)","30.25","30.60","28.40","30.10","52.84"
"Wed May 24 2023 15:04:00 GMT+0530 (India Standard Time)","29.25","31.35","28.45","31.25","55.44"
"Wed May 24 2023 15:05:00 GMT+0530 (India Standard Time)","30.65","31.35","28.65","28.80","49.22"
"Wed May 24 2023 15:06:00 GMT+0530 (India Standard Time)","28.70","29.15","26.15","26.50","44.20"
"Wed May 24 2023 15:07:00 GMT+0530 (India Standard Time)","27.20","28.60","26.60","27.30","46.25"
"Wed May 24 2023 15:08:00 GMT+0530 (India Standard Time)","27.60","27.65","25.15","25.15","41.80"
"Wed May 24 2023 15:09:00 GMT+0530 (India Standard Time)","25.05","26.15","24.30","25.95","43.96"
"Wed May 24 2023 15:10:00 GMT+0530 (India Standard Time)","25.65","26.60","25.30","26.40","45.19"
"Wed May 24 2023 15:11:00 GMT+0530 (India Standard Time)","26.40","26.45","23.95","24.25","40.60"
"Wed May 24 2023 15:12:00 GMT+0530 (India Standard Time)","24.00","24.25","21.30","22.50","37.28"
"Wed May 24 2023 15:13:00 GMT+0530 (India Standard Time)","22.40","22.70","21.40","22.30","36.90"
"Wed May 24 2023 15:14:00 GMT+0530 (India Standard Time)","22.25","23.50","22.05","22.90","38.87"
"Wed May 24 2023 15:15:00 GMT+0530 (India Standard Time)","23.35","25.45","22.90","24.35","43.47"
"Wed May 24 2023 15:16:00 GMT+0530 (India Standard Time)","24.25","25.25","24.00","24.60","44.24"
"Wed May 24 2023 15:17:00 GMT+0530 (India Standard Time)","24.40","24.90","23.80","24.35","43.60"
"Wed May 24 2023 15:18:00 GMT+0530 (India Standard Time)","24.25","24.80","23.05","23.05","40.30"
"Wed May 24 2023 15:19:00 GMT+0530 (India Standard Time)","22.85","23.40","21.50","22.80","39.68"
"Wed May 24 2023 15:20:00 GMT+0530 (India Standard Time)","22.40","24.00","22.20","23.90","43.79"
"Wed May 24 2023 15:21:00 GMT+0530 (India Standard Time)","23.65","23.90","22.85","23.15","41.70"
"Wed May 24 2023 15:22:00 GMT+0530 (India Standard Time)","23.25","23.45","22.05","22.75","40.59"
"Wed May 24 2023 15:23:00 GMT+0530 (India Standard Time)","23.00","23.65","22.75","23.50","43.62"
"Wed May 24 2023 15:24:00 GMT+0530 (India Standard Time)","23.50","23.80","23.20","23.30","42.99"
"Wed May 24 2023 15:25:00 GMT+0530 (India Standard Time)","23.45","23.75","22.75","22.85","41.54"
"Wed May 24 2023 15:26:00 GMT+0530 (India Standard Time)","22.95","23.65","22.85","23.00","42.24"
"Wed May 24 2023 15:27:00 GMT+0530 (India Standard Time)","23.10","23.60","23.00","23.15","42.98"
"Wed May 24 2023 15:28:00 GMT+0530 (India Standard Time)","23.15","23.20","22.65","22.90","42.02"
"Wed May 24 2023 15:29:00 GMT+0530 (India Standard Time)","22.95","23.00","22.40","22.90","42.02"
"Thu May 25 2023 09:15:00 GMT+0530 (India Standard Time)","30.00","34.50","27.00","30.70","67.95"
"Thu May 25 2023 09:16:00 GMT+0530 (India Standard Time)","31.15","32.85","28.05","29.80","64.37"
"Thu May 25 2023 09:17:00 GMT+0530 (India Standard Time)","30.65","30.85","25.60","25.80","51.41"
"Thu May 25 2023 09:18:00 GMT+0530 (India Standard Time)","25.75","26.35","21.95","21.95","42.54"
"Thu May 25 2023 09:19:00 GMT+0530 (India Standard Time)","21.55","23.90","21.05","22.15","43.09"
"Thu May 25 2023 09:20:00 GMT+0530 (India Standard Time)","22.15","23.95","20.95","21.55","41.80"
"Thu May 25 2023 09:21:00 GMT+0530 (India Standard Time)","21.05","22.80","20.05","22.70","45.19"
"Thu May 25 2023 09:22:00 GMT+0530 (India Standard Time)","22.75","25.90","21.10","22.00","43.53"
"Thu May 25 2023 09:23:00 GMT+0530 (India Standard Time)","21.95","22.00","19.00","19.40","37.94"
"Thu May 25 2023 09:24:00 GMT+0530 (India Standard Time)","19.30","21.25","19.00","20.55","41.52"
"Thu May 25 2023 09:25:00 GMT+0530 (India Standard Time)","20.55","23.05","20.35","22.30","46.56"
"Thu May 25 2023 09:26:00 GMT+0530 (India Standard Time)","22.70","28.20","22.30","27.35","57.85"
