"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 24 2023 14:39:00 GMT+0530 (India Standard Time)","16.45","16.65","15.55","15.60","43.04"
"Wed May 24 2023 14:40:00 GMT+0530 (India Standard Time)","15.65","16.05","13.75","13.80","35.46"
"Wed May 24 2023 14:41:00 GMT+0530 (India Standard Time)","13.75","14.15","9.30","9.45","24.33"
"Wed May 24 2023 14:42:00 GMT+0530 (India Standard Time)","9.40","10.45","9.15","10.25","28.76"
"Wed May 24 2023 14:43:00 GMT+0530 (India Standard Time)","10.25","10.45","8.75","8.90","25.99"
"Wed May 24 2023 14:44:00 GMT+0530 (India Standard Time)","9.15","9.60","8.80","9.15","27.38"
"Wed May 24 2023 14:45:00 GMT+0530 (India Standard Time)","9.00","9.45","8.00","8.00","25.05"
"Wed May 24 2023 14:46:00 GMT+0530 (India Standard Time)","8.00","8.25","7.45","7.50","24.09"
"Wed May 24 2023 14:47:00 GMT+0530 (India Standard Time)","7.35","7.95","7.20","7.85","26.22"
"Wed May 24 2023 14:48:00 GMT+0530 (India Standard Time)","7.80","8.30","7.70","7.90","26.54"
"Wed May 24 2023 14:49:00 GMT+0530 (India Standard Time)","7.85","8.55","7.80","8.25","28.85"
"Wed May 24 2023 14:50:00 GMT+0530 (India Standard Time)","8.20","8.40","7.95","8.10","28.44"
"Wed May 24 2023 14:51:00 GMT+0530 (India Standard Time)","8.15","8.25","7.95","8.05","28.29"
"Wed May 24 2023 14:52:00 GMT+0530 (India Standard Time)","8.05","8.15","7.85","7.95","27.99"
"Wed May 24 2023 14:53:00 GMT+0530 (India Standard Time)","8.00","8.20","7.75","8.10","29.23"
"Wed May 24 2023 14:54:00 GMT+0530 (India Standard Time)","8.05","8.15","7.85","8.00","28.87"
"Wed May 24 2023 14:55:00 GMT+0530 (India Standard Time)","8.05","8.10","7.20","7.20","26.11"
"Wed May 24 2023 14:56:00 GMT+0530 (India Standard Time)","7.10","7.35","6.90","7.15","25.95"
"Wed May 24 2023 14:57:00 GMT+0530 (India Standard Time)","7.20","7.55","7.15","7.50","29.35"
"Wed May 24 2023 14:58:00 GMT+0530 (India Standard Time)","7.55","7.85","7.45","7.50","29.35"
"Wed May 24 2023 14:59:00 GMT+0530 (India Standard Time)","7.50","7.70","7.15","7.20","28.07"
"Wed May 24 2023 15:00:00 GMT+0530 (India Standard Time)","7.05","9.15","7.05","8.30","38.65"
"Wed May 24 2023 15:01:00 GMT+0530 (India Standard Time)","8.35","8.70","7.35","8.10","37.57"
"Wed May 24 2023 15:02:00 GMT+0530 (India Standard Time)","8.20","8.20","6.95","7.50","34.45"
