"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 24 2023 14:33:00 GMT+0530 (India Standard Time)","5.75","5.75","5.40","5.65","30.65"
"Wed May 24 2023 14:34:00 GMT+0530 (India Standard Time)","5.65","5.80","5.50","5.60","30.14"
"Wed May 24 2023 14:35:00 GMT+0530 (India Standard Time)","5.45","5.60","5.40","5.55","29.61"
"Wed May 24 2023 14:36:00 GMT+0530 (India Standard Time)","5.55","5.95","5.50","5.90","37.89"
"Wed May 24 2023 14:37:00 GMT+0530 (India Standard Time)","5.95","6.40","5.90","6.20","43.98"
"Wed May 24 2023 14:38:00 GMT+0530 (India Standard Time)","6.25","6.35","5.95","6.00","41.09"
"Wed May 24 2023 14:39:00 GMT+0530 (India Standard Time)","6.00","6.20","5.95","6.15","44.06"
"Wed May 24 2023 14:40:00 GMT+0530 (India Standard Time)","6.15","7.05","6.00","7.05","57.81"
"Wed May 24 2023 14:41:00 GMT+0530 (India Standard Time)","7.10","9.30","6.85","9.00","73.18"
"Wed May 24 2023 14:42:00 GMT+0530 (India Standard Time)","9.05","9.25","8.20","8.70","69.01"
"Wed May 24 2023 14:43:00 GMT+0530 (India Standard Time)","8.75","10.25","8.40","10.05","75.72"
"Wed May 24 2023 14:44:00 GMT+0530 (India Standard Time)","9.90","10.05","9.15","9.60","70.26"
"Wed May 24 2023 14:45:00 GMT+0530 (India Standard Time)","9.70","10.90","9.60","10.60","74.63"
"Wed May 24 2023 14:46:00 GMT+0530 (India Standard Time)","10.60","11.00","9.60","10.75","75.22"
"Wed May 24 2023 14:47:00 GMT+0530 (India Standard Time)","10.95","11.15","9.00","9.55","62.69"
"Wed May 24 2023 14:48:00 GMT+0530 (India Standard Time)","9.65","10.25","9.45","9.85","64.29"
"Wed May 24 2023 14:49:00 GMT+0530 (India Standard Time)","9.95","9.95","8.25","8.85","55.71"
"Wed May 24 2023 14:50:00 GMT+0530 (India Standard Time)","8.95","9.35","8.65","9.00","56.64"
"Wed May 24 2023 14:51:00 GMT+0530 (India Standard Time)","8.95","9.25","8.70","9.10","57.29"
"Wed May 24 2023 14:52:00 GMT+0530 (India Standard Time)","9.15","9.70","9.10","9.15","57.63"
"Wed May 24 2023 14:53:00 GMT+0530 (India Standard Time)","9.00","9.55","8.85","9.45","59.71"
"Wed May 24 2023 14:54:00 GMT+0530 (India Standard Time)","9.40","9.60","9.00","9.25","57.68"
"Wed May 24 2023 14:55:00 GMT+0530 (India Standard Time)","9.20","9.70","8.95","9.65","60.57"
"Wed May 24 2023 14:56:00 GMT+0530 (India Standard Time)","9.70","10.30","9.55","9.70","60.92"
"Wed May 24 2023 14:57:00 GMT+0530 (India Standard Time)","9.50","9.95","9.10","9.55","59.18"
"Wed May 24 2023 14:58:00 GMT+0530 (India Standard Time)","9.50","9.55","8.75","9.20","55.22"
"Wed May 24 2023 14:59:00 GMT+0530 (India Standard Time)","9.25","9.75","8.95","9.65","59.02"
"Wed May 24 2023 15:00:00 GMT+0530 (India Standard Time)","9.85","9.85","6.70","7.55","41.38"
"Wed May 24 2023 15:01:00 GMT+0530 (India Standard Time)","7.60","8.45","7.30","7.60","41.82"
"Wed May 24 2023 15:02:00 GMT+0530 (India Standard Time)","7.55","9.35","7.50","8.55","49.66"
"Wed May 24 2023 15:03:00 GMT+0530 (India Standard Time)","8.70","8.80","8.10","8.55","49.66"
"Wed May 24 2023 15:04:00 GMT+0530 (India Standard Time)","8.70","9.10","8.20","9.00","53.13"
"Wed May 24 2023 15:05:00 GMT+0530 (India Standard Time)","8.80","9.00","8.15","8.25","47.28"
"Wed May 24 2023 15:06:00 GMT+0530 (India Standard Time)","8.20","8.30","7.30","7.50","42.27"
"Wed May 24 2023 15:07:00 GMT+0530 (India Standard Time)","7.50","8.05","7.45","7.70","43.98"
"Wed May 24 2023 15:08:00 GMT+0530 (India Standard Time)","7.80","7.85","6.80","6.80","38.47"
"Wed May 24 2023 15:09:00 GMT+0530 (India Standard Time)","6.80","7.15","6.60","7.00","40.26"
"Wed May 24 2023 15:10:00 GMT+0530 (India Standard Time)","6.95","7.30","6.75","7.20","42.07"
"Wed May 24 2023 15:11:00 GMT+0530 (India Standard Time)","7.20","7.25","6.55","6.60","38.31"
"Wed May 24 2023 15:12:00 GMT+0530 (India Standard Time)","6.60","6.60","5.90","6.15","35.74"
"Wed May 24 2023 15:13:00 GMT+0530 (India Standard Time)","6.10","6.25","5.90","6.20","36.25"
"Wed May 24 2023 15:14:00 GMT+0530 (India Standard Time)","6.15","6.60","6.10","6.50","39.38"
"Wed May 24 2023 15:15:00 GMT+0530 (India Standard Time)","6.60","7.20","6.55","6.90","43.37"
"Wed May 24 2023 15:16:00 GMT+0530 (India Standard Time)","6.90","7.20","6.85","7.05","44.84"
"Wed May 24 2023 15:17:00 GMT+0530 (India Standard Time)","6.90","7.10","6.70","6.85","43.23"
