"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue May 23 2023 11:55:00 GMT+0530 (India Standard Time)","12.35","12.60","11.65","12.25","34.85"
"Tue May 23 2023 12:00:00 GMT+0530 (India Standard Time)","12.20","12.35","11.35","11.50","31.49"
"Tue May 23 2023 12:05:00 GMT+0530 (India Standard Time)","11.50","12.10","11.40","11.90","35.09"
"Tue May 23 2023 12:10:00 GMT+0530 (India Standard Time)","11.90","12.35","11.45","11.45","32.99"
"Tue May 23 2023 12:15:00 GMT+0530 (India Standard Time)","11.45","11.60","11.35","11.60","34.40"
"Tue May 23 2023 12:20:00 GMT+0530 (India Standard Time)","11.55","11.95","11.35","11.95","37.69"
"Tue May 23 2023 12:25:00 GMT+0530 (India Standard Time)","11.95","12.10","11.35","11.45","34.99"
"Tue May 23 2023 12:30:00 GMT+0530 (India Standard Time)","11.40","11.75","11.35","11.55","35.98"
"Tue May 23 2023 12:35:00 GMT+0530 (India Standard Time)","11.45","11.90","11.00","11.40","35.12"
"Tue May 23 2023 12:40:00 GMT+0530 (India Standard Time)","11.50","11.65","10.60","11.15","33.67"
"Tue May 23 2023 12:45:00 GMT+0530 (India Standard Time)","11.20","11.55","10.85","11.30","35.39"
"Tue May 23 2023 12:50:00 GMT+0530 (India Standard Time)","11.25","11.50","10.90","10.90","32.93"
"Tue May 23 2023 12:55:00 GMT+0530 (India Standard Time)","10.75","11.00","10.30","10.35","29.86"
"Tue May 23 2023 13:00:00 GMT+0530 (India Standard Time)","10.60","11.10","10.00","11.00","37.30"
"Tue May 23 2023 13:05:00 GMT+0530 (India Standard Time)","11.05","11.70","10.85","11.70","44.16"
"Tue May 23 2023 13:10:00 GMT+0530 (India Standard Time)","11.70","11.80","11.00","11.65","43.80"
"Tue May 23 2023 13:15:00 GMT+0530 (India Standard Time)","11.65","12.45","11.45","11.65","43.80"
"Tue May 23 2023 13:20:00 GMT+0530 (India Standard Time)","11.55","11.75","10.80","11.00","38.90"
"Tue May 23 2023 13:25:00 GMT+0530 (India Standard Time)","11.00","11.40","10.95","11.25","41.60"
"Tue May 23 2023 13:30:00 GMT+0530 (India Standard Time)","11.25","11.55","10.75","10.95","39.35"
"Tue May 23 2023 13:35:00 GMT+0530 (India Standard Time)","10.95","11.05","10.40","10.80","38.24"
"Tue May 23 2023 13:40:00 GMT+0530 (India Standard Time)","10.85","11.05","10.50","11.05","41.22"
"Tue May 23 2023 13:45:00 GMT+0530 (India Standard Time)","11.05","11.10","9.90","10.20","35.02"
"Tue May 23 2023 13:50:00 GMT+0530 (India Standard Time)","10.20","10.30","9.80","9.85","32.83"
"Tue May 23 2023 13:55:00 GMT+0530 (India Standard Time)","9.85","10.20","9.65","10.20","37.07"
"Tue May 23 2023 14:00:00 GMT+0530 (India Standard Time)","10.15","11.30","9.65","9.90","35.03"
"Tue May 23 2023 14:05:00 GMT+0530 (India Standard Time)","9.85","10.10","9.40","9.75","34.02"
"Tue May 23 2023 14:10:00 GMT+0530 (India Standard Time)","9.80","10.25","9.70","9.85","35.36"
"Tue May 23 2023 14:15:00 GMT+0530 (India Standard Time)","9.85","10.10","9.30","9.35","31.88"
"Tue May 23 2023 14:20:00 GMT+0530 (India Standard Time)","9.35","9.35","8.85","9.00","29.68"
"Tue May 23 2023 14:25:00 GMT+0530 (India Standard Time)","9.00","9.25","8.85","9.10","31.14"
"Tue May 23 2023 14:30:00 GMT+0530 (India Standard Time)","9.10","9.65","8.90","9.55","37.45"
"Tue May 23 2023 14:35:00 GMT+0530 (India Standard Time)","9.50","10.25","9.40","9.80","40.69"
"Tue May 23 2023 14:40:00 GMT+0530 (India Standard Time)","9.90","11.85","9.80","11.20","54.83"
"Tue May 23 2023 14:45:00 GMT+0530 (India Standard Time)","11.25","12.95","11.20","12.45","63.26"
