"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue May 23 2023 14:45:00 GMT+0530 (India Standard Time)","52.25","52.35","43.65","45.55","25.43"
"Tue May 23 2023 14:50:00 GMT+0530 (India Standard Time)","45.35","47.55","39.15","40.00","21.73"
"Tue May 23 2023 14:55:00 GMT+0530 (India Standard Time)","40.20","48.80","40.00","47.85","35.92"
"Tue May 23 2023 15:00:00 GMT+0530 (India Standard Time)","48.05","49.50","34.80","41.05","30.73"
"Tue May 23 2023 15:05:00 GMT+0530 (India Standard Time)","42.65","44.00","40.30","42.00","32.20"
"Tue May 23 2023 15:10:00 GMT+0530 (India Standard Time)","42.60","44.00","36.75","37.20","28.86"
"Tue May 23 2023 15:15:00 GMT+0530 (India Standard Time)","37.35","39.10","36.15","36.95","28.69"
"Tue May 23 2023 15:20:00 GMT+0530 (India Standard Time)","36.95","37.85","31.35","32.25","25.68"
"Tue May 23 2023 15:25:00 GMT+0530 (India Standard Time)","32.20","36.00","32.15","34.60","29.65"
"Wed May 24 2023 09:15:00 GMT+0530 (India Standard Time)","25.00","25.00","14.45","19.60","21.68"
"Wed May 24 2023 09:20:00 GMT+0530 (India Standard Time)","19.45","19.60","14.60","16.40","20.42"
"Wed May 24 2023 09:25:00 GMT+0530 (India Standard Time)","16.30","19.55","15.30","18.70","23.85"
"Wed May 24 2023 09:30:00 GMT+0530 (India Standard Time)","19.10","24.00","18.70","23.40","30.44"
"Wed May 24 2023 09:35:00 GMT+0530 (India Standard Time)","23.35","28.85","21.60","26.95","35.02"
"Wed May 24 2023 09:40:00 GMT+0530 (India Standard Time)","26.65","28.60","25.35","28.55","37.03"
"Wed May 24 2023 09:45:00 GMT+0530 (India Standard Time)","28.60","33.50","27.05","32.00","41.26"
"Wed May 24 2023 09:50:00 GMT+0530 (India Standard Time)","31.90","32.90","28.80","32.70","42.10"
"Wed May 24 2023 09:55:00 GMT+0530 (India Standard Time)","32.70","33.20","30.00","32.45","41.87"
"Wed May 24 2023 10:00:00 GMT+0530 (India Standard Time)","31.95","34.40","30.55","33.90","43.81"
"Wed May 24 2023 10:05:00 GMT+0530 (India Standard Time)","33.85","35.00","33.00","34.10","44.09"
"Wed May 24 2023 10:10:00 GMT+0530 (India Standard Time)","33.80","38.90","31.55","38.80","50.29"
"Wed May 24 2023 10:15:00 GMT+0530 (India Standard Time)","38.85","44.75","37.50","41.45","53.43"
"Wed May 24 2023 10:20:00 GMT+0530 (India Standard Time)","41.35","41.60","38.05","38.75","49.97"
"Wed May 24 2023 10:25:00 GMT+0530 (India Standard Time)","38.45","38.70","31.75","32.80","43.31"
"Wed May 24 2023 10:30:00 GMT+0530 (India Standard Time)","32.90","38.45","31.65","38.30","49.95"
"Wed May 24 2023 10:35:00 GMT+0530 (India Standard Time)","38.35","42.00","37.05","39.75","51.56"
"Wed May 24 2023 10:40:00 GMT+0530 (India Standard Time)","39.35","41.85","36.70","41.50","53.50"
"Wed May 24 2023 10:45:00 GMT+0530 (India Standard Time)","41.65","45.75","41.15","45.40","57.59"
"Wed May 24 2023 10:50:00 GMT+0530 (India Standard Time)","47.45","48.15","42.90","42.90","54.29"
"Wed May 24 2023 10:55:00 GMT+0530 (India Standard Time)","42.95","44.95","42.00","44.95","56.49"
"Wed May 24 2023 11:00:00 GMT+0530 (India Standard Time)","45.05","47.20","40.45","41.90","52.45"
"Wed May 24 2023 11:05:00 GMT+0530 (India Standard Time)","41.75","43.65","38.65","39.95","49.99"
"Wed May 24 2023 11:10:00 GMT+0530 (India Standard Time)","39.85","41.45","39.35","40.90","51.19"
"Wed May 24 2023 11:15:00 GMT+0530 (India Standard Time)","40.20","44.65","38.95","44.45","55.50"
"Wed May 24 2023 11:20:00 GMT+0530 (India Standard Time)","44.30","46.45","42.90","43.80","54.55"
