"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Mon Jun 05 2023 11:36:00 GMT+0530 (India Standard Time)","18.10","18.25","17.00","17.05","45.68"
"Mon Jun 05 2023 11:37:00 GMT+0530 (India Standard Time)","17.10","17.45","16.70","17.25","47.90"
"Mon Jun 05 2023 11:38:00 GMT+0530 (India Standard Time)","17.35","17.60","17.20","17.35","49.02"
"Mon Jun 05 2023 11:39:00 GMT+0530 (India Standard Time)","17.35","18.15","17.25","17.95","55.24"
"Mon Jun 05 2023 11:40:00 GMT+0530 (India Standard Time)","17.90","18.10","17.50","17.50","50.28"
"Mon Jun 05 2023 11:41:00 GMT+0530 (India Standard Time)","17.50","18.25","17.45","18.05","55.54"
"Mon Jun 05 2023 11:42:00 GMT+0530 (India Standard Time)","18.05","18.15","17.55","17.85","53.33"
"Mon Jun 05 2023 11:43:00 GMT+0530 (India Standard Time)","17.95","18.45","17.80","18.15","56.14"
"Mon Jun 05 2023 11:44:00 GMT+0530 (India Standard Time)","18.20","18.45","18.00","18.35","57.96"
"Mon Jun 05 2023 11:45:00 GMT+0530 (India Standard Time)","18.40","18.45","17.70","17.90","52.67"
"Mon Jun 05 2023 11:46:00 GMT+0530 (India Standard Time)","17.90","18.30","17.90","18.00","53.68"
"Mon Jun 05 2023 11:47:00 GMT+0530 (India Standard Time)","18.05","18.15","17.55","17.55","48.64"
"Mon Jun 05 2023 11:48:00 GMT+0530 (India Standard Time)","17.40","17.70","17.05","17.45","47.57"
"Mon Jun 05 2023 11:49:00 GMT+0530 (India Standard Time)","17.45","17.50","16.90","17.45","47.57"
"Mon Jun 05 2023 11:50:00 GMT+0530 (India Standard Time)","17.40","17.50","17.00","17.40","46.97"
"Mon Jun 05 2023 11:51:00 GMT+0530 (India Standard Time)","17.50","18.20","17.45","18.15","55.93"
"Mon Jun 05 2023 11:52:00 GMT+0530 (India Standard Time)","18.15","18.40","17.95","18.10","55.26"
"Mon Jun 05 2023 11:53:00 GMT+0530 (India Standard Time)","18.15","19.15","17.85","18.70","61.26"
"Mon Jun 05 2023 11:54:00 GMT+0530 (India Standard Time)","18.65","19.50","18.65","19.20","65.43"
"Mon Jun 05 2023 11:55:00 GMT+0530 (India Standard Time)","19.20","19.65","19.00","19.35","66.59"
"Mon Jun 05 2023 11:56:00 GMT+0530 (India Standard Time)","19.30","19.65","19.15","19.20","64.26"
"Mon Jun 05 2023 11:57:00 GMT+0530 (India Standard Time)","19.25","19.55","18.35","18.65","56.49"
"Mon Jun 05 2023 11:58:00 GMT+0530 (India Standard Time)","18.70","19.20","18.55","18.90","58.92"
"Mon Jun 05 2023 11:59:00 GMT+0530 (India Standard Time)","19.00","19.70","18.90","19.65","65.21"
"Mon Jun 05 2023 12:00:00 GMT+0530 (India Standard Time)","19.55","19.70","18.80","18.80","54.94"
"Mon Jun 05 2023 12:01:00 GMT+0530 (India Standard Time)","18.85","19.00","18.25","18.70","53.87"
"Mon Jun 05 2023 12:02:00 GMT+0530 (India Standard Time)","18.60","19.50","18.60","19.15","57.86"
"Mon Jun 05 2023 12:03:00 GMT+0530 (India Standard Time)","19.10","19.65","18.95","19.45","60.33"
"Mon Jun 05 2023 12:04:00 GMT+0530 (India Standard Time)","19.40","19.90","19.35","19.55","61.14"
"Mon Jun 05 2023 12:05:00 GMT+0530 (India Standard Time)","19.55","19.80","18.60","18.70","51.45"
"Mon Jun 05 2023 12:06:00 GMT+0530 (India Standard Time)","18.75","19.90","18.75","19.30","56.67"
"Mon Jun 05 2023 12:07:00 GMT+0530 (India Standard Time)","19.30","19.55","18.50","18.50","49.09"
"Mon Jun 05 2023 12:08:00 GMT+0530 (India Standard Time)","18.20","18.90","17.95","18.80","51.70"
"Mon Jun 05 2023 12:09:00 GMT+0530 (India Standard Time)","18.75","18.95","17.40","17.45","41.42"
"Mon Jun 05 2023 12:10:00 GMT+0530 (India Standard Time)","17.45","17.60","16.30","17.10","39.24"
"Mon Jun 05 2023 12:11:00 GMT+0530 (India Standard Time)","17.15","17.40","16.75","17.20","40.21"
