"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Thu Jun 01 2023 14:47:00 GMT+0530 (India Standard Time)","19386.20","19397.05","19384.90","19395.45","54.87"
"Thu Jun 01 2023 14:48:00 GMT+0530 (India Standard Time)","19395.75","19395.75","19385.95","19385.95","47.54"
"Thu Jun 01 2023 14:49:00 GMT+0530 (India Standard Time)","19386.65","19387.50","19371.00","19375.35","40.96"
"Thu Jun 01 2023 14:50:00 GMT+0530 (India Standard Time)","19375.35","19379.35","19373.50","19374.20","40.31"
"Thu Jun 01 2023 14:51:00 GMT+0530 (India Standard Time)","19373.95","19377.25","19373.75","19376.85","42.57"
"Thu Jun 01 2023 14:52:00 GMT+0530 (India Standard Time)","19376.50","19387.55","19376.50","19386.85","50.25"
"Thu Jun 01 2023 14:53:00 GMT+0530 (India Standard Time)","19386.40","19391.25","19386.40","19388.55","51.44"
"Thu Jun 01 2023 14:54:00 GMT+0530 (India Standard Time)","19388.25","19390.85","19386.60","19388.60","51.48"
"Thu Jun 01 2023 14:55:00 GMT+0530 (India Standard Time)","19387.70","19390.00","19386.75","19389.15","51.91"
"Thu Jun 01 2023 14:56:00 GMT+0530 (India Standard Time)","19388.20","19394.95","19387.90","19393.90","55.58"
"Thu Jun 01 2023 14:57:00 GMT+0530 (India Standard Time)","19393.70","19396.15","19390.85","19396.05","57.17"
"Thu Jun 01 2023 14:58:00 GMT+0530 (India Standard Time)","19396.25","19402.45","19396.10","19401.10","60.73"
"Thu Jun 01 2023 14:59:00 GMT+0530 (India Standard Time)","19400.80","19400.80","19387.70","19387.70","49.07"
"Thu Jun 01 2023 15:00:00 GMT+0530 (India Standard Time)","19389.35","19389.95","19368.75","19373.45","40.23"
"Thu Jun 01 2023 15:01:00 GMT+0530 (India Standard Time)","19373.40","19376.25","19370.70","19375.50","41.85"
"Thu Jun 01 2023 15:02:00 GMT+0530 (India Standard Time)","19374.30","19377.40","19368.45","19375.20","41.67"
"Thu Jun 01 2023 15:03:00 GMT+0530 (India Standard Time)","19374.35","19376.35","19357.30","19357.40","32.75"
"Thu Jun 01 2023 15:04:00 GMT+0530 (India Standard Time)","19357.65","19361.25","19351.90","19351.90","30.57"
"Thu Jun 01 2023 15:05:00 GMT+0530 (India Standard Time)","19352.00","19358.05","19337.35","19338.95","26.16"
"Thu Jun 01 2023 15:06:00 GMT+0530 (India Standard Time)","19338.65","19343.80","19335.65","19336.40","25.38"
"Thu Jun 01 2023 15:07:00 GMT+0530 (India Standard Time)","19336.60","19341.75","19335.75","19341.20","29.62"
"Thu Jun 01 2023 15:08:00 GMT+0530 (India Standard Time)","19341.40","19346.25","19341.40","19343.05","31.24"
"Thu Jun 01 2023 15:09:00 GMT+0530 (India Standard Time)","19343.35","19345.55","19337.20","19339.45","29.80"
"Thu Jun 01 2023 15:10:00 GMT+0530 (India Standard Time)","19338.70","19351.00","19338.70","19351.00","39.43"
"Thu Jun 01 2023 15:11:00 GMT+0530 (India Standard Time)","19351.35","19351.35","19346.20","19348.40","38.16"
"Thu Jun 01 2023 15:12:00 GMT+0530 (India Standard Time)","19348.70","19350.80","19344.10","19346.25","37.10"
"Thu Jun 01 2023 15:13:00 GMT+0530 (India Standard Time)","19346.05","19351.35","19345.05","19345.80","36.87"
"Thu Jun 01 2023 15:14:00 GMT+0530 (India Standard Time)","19346.00","19346.15","19326.85","19327.60","28.99"
