"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Wed May 24 2023 11:35:00 GMT+0530 (India Standard Time)","152.00","152.00","149.20","149.20","60.32"
"Wed May 24 2023 11:40:00 GMT+0530 (India Standard Time)","149.20","149.20","139.25","142.50","51.69"
"Wed May 24 2023 11:45:00 GMT+0530 (India Standard Time)","142.50","142.50","135.40","135.40","44.43"
"Wed May 24 2023 11:50:00 GMT+0530 (India Standard Time)","135.40","136.50","135.40","136.10","45.25"
"Wed May 24 2023 11:55:00 GMT+0530 (India Standard Time)","136.10","136.10","136.10","136.10","45.25"
"Wed May 24 2023 12:00:00 GMT+0530 (India Standard Time)","136.10","136.10","129.60","129.60","39.07"
"Wed May 24 2023 12:05:00 GMT+0530 (India Standard Time)","129.60","148.75","129.60","135.05","45.76"
"Wed May 24 2023 12:10:00 GMT+0530 (India Standard Time)","135.05","149.45","130.10","130.10","41.32"
"Wed May 24 2023 12:15:00 GMT+0530 (India Standard Time)","130.10","130.10","125.00","125.00","37.31"
"Wed May 24 2023 12:20:00 GMT+0530 (India Standard Time)","125.00","125.00","123.85","123.85","36.45"
"Wed May 24 2023 12:25:00 GMT+0530 (India Standard Time)","123.85","124.00","123.85","124.00","36.65"
"Wed May 24 2023 12:30:00 GMT+0530 (India Standard Time)","124.00","124.00","121.20","121.20","34.42"
"Wed May 24 2023 12:35:00 GMT+0530 (India Standard Time)","121.20","121.20","115.00","115.00","30.05"
"Wed May 24 2023 12:40:00 GMT+0530 (India Standard Time)","115.00","115.00","115.00","115.00","30.05"
"Wed May 24 2023 12:45:00 GMT+0530 (India Standard Time)","115.00","115.00","115.00","115.00","30.05"
"Wed May 24 2023 12:50:00 GMT+0530 (India Standard Time)","115.00","115.00","115.00","115.00","30.05"
"Wed May 24 2023 12:55:00 GMT+0530 (India Standard Time)","115.00","115.00","115.00","115.00","30.05"
"Wed May 24 2023 13:00:00 GMT+0530 (India Standard Time)","115.00","115.00","115.00","115.00","30.05"
"Wed May 24 2023 13:05:00 GMT+0530 (India Standard Time)","115.00","115.00","115.00","115.00","30.05"
"Wed May 24 2023 13:10:00 GMT+0530 (India Standard Time)","115.00","115.00","108.25","108.25","24.39"
"Wed May 24 2023 13:15:00 GMT+0530 (India Standard Time)","108.25","113.25","105.00","105.00","22.22"
"Wed May 24 2023 13:20:00 GMT+0530 (India Standard Time)","105.00","105.00","104.00","104.00","21.59"
"Wed May 24 2023 13:25:00 GMT+0530 (India Standard Time)","104.00","110.35","104.00","107.90","30.00"
"Wed May 24 2023 13:30:00 GMT+0530 (India Standard Time)","107.90","107.90","107.90","107.90","30.00"
"Wed May 24 2023 13:35:00 GMT+0530 (India Standard Time)","107.90","113.85","107.90","113.05","39.89"
"Wed May 24 2023 13:40:00 GMT+0530 (India Standard Time)","113.05","113.05","107.75","107.75","34.49"
"Wed May 24 2023 13:45:00 GMT+0530 (India Standard Time)","107.75","107.75","104.95","106.00","32.91"
"Wed May 24 2023 13:50:00 GMT+0530 (India Standard Time)","106.00","108.85","106.00","108.85","37.91"
"Wed May 24 2023 13:55:00 GMT+0530 (India Standard Time)","108.85","108.85","107.95","107.95","36.97"
"Wed May 24 2023 14:00:00 GMT+0530 (India Standard Time)","107.95","108.00","107.95","108.00","37.06"
"Wed May 24 2023 14:05:00 GMT+0530 (India Standard Time)","108.00","108.00","108.00","108.00","37.06"
"Wed May 24 2023 14:10:00 GMT+0530 (India Standard Time)","108.00","108.00","108.00","108.00","37.06"
"Wed May 24 2023 14:15:00 GMT+0530 (India Standard Time)","108.00","108.00","108.00","108.00","37.06"
"Wed May 24 2023 14:20:00 GMT+0530 (India Standard Time)","108.00","108.00","104.95","104.95","33.06"
"Wed May 24 2023 14:25:00 GMT+0530 (India Standard Time)","104.95","104.95","102.95","102.95","30.71"
"Wed May 24 2023 14:30:00 GMT+0530 (India Standard Time)","102.95","102.95","102.95","102.95","30.71"
"Wed May 24 2023 14:35:00 GMT+0530 (India Standard Time)","102.95","108.05","102.95","108.05","42.72"
"Wed May 24 2023 14:40:00 GMT+0530 (India Standard Time)","108.05","108.05","92.00","92.65","27.32"
"Wed May 24 2023 14:45:00 GMT+0530 (India Standard Time)","92.65","92.65","89.70","89.70","25.43"
"Wed May 24 2023 14:50:00 GMT+0530 (India Standard Time)","89.70","90.15","86.60","90.15","26.27"
"Wed May 24 2023 14:55:00 GMT+0530 (India Standard Time)","90.15","92.00","83.30","92.00","29.77"
"Wed May 24 2023 15:00:00 GMT+0530 (India Standard Time)","92.00","92.00","92.00","92.00","29.77"
"Wed May 24 2023 15:05:00 GMT+0530 (India Standard Time)","92.00","92.00","92.00","92.00","29.77"
"Wed May 24 2023 15:10:00 GMT+0530 (India Standard Time)","92.00","92.90","88.00","89.05","27.20"
"Wed May 24 2023 15:15:00 GMT+0530 (India Standard Time)","89.05","91.70","85.10","87.15","25.66"
"Wed May 24 2023 15:20:00 GMT+0530 (India Standard Time)","87.15","87.15","84.70","84.70","23.80"
"Wed May 24 2023 15:25:00 GMT+0530 (India Standard Time)","84.70","92.30","84.70","85.00","24.52"
"Thu May 25 2023 09:15:00 GMT+0530 (India Standard Time)","80.00","88.50","80.00","81.25","21.74"
"Thu May 25 2023 09:20:00 GMT+0530 (India Standard Time)","81.25","81.25","81.25","81.25","21.74"
"Thu May 25 2023 09:25:00 GMT+0530 (India Standard Time)","81.25","81.50","78.20","78.20","19.64"
"Thu May 25 2023 09:30:00 GMT+0530 (India Standard Time)","78.20","78.20","73.20","75.00","17.71"
