"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue Jun 06 2023 14:58:00 GMT+0530 (India Standard Time)","18561.25","18561.25","18558.50","18560.35","55.67"
"Tue Jun 06 2023 14:59:00 GMT+0530 (India Standard Time)","18560.10","18560.10","18556.65","18558.05","51.16"
"Tue Jun 06 2023 15:00:00 GMT+0530 (India Standard Time)","18558.90","18571.80","18558.90","18570.30","66.66"
"Tue Jun 06 2023 15:01:00 GMT+0530 (India Standard Time)","18571.05","18571.05","18567.65","18570.55","66.89"
"Tue Jun 06 2023 15:02:00 GMT+0530 (India Standard Time)","18569.55","18572.55","18569.15","18571.15","67.48"
"Tue Jun 06 2023 15:03:00 GMT+0530 (India Standard Time)","18570.75","18582.60","18569.95","18581.75","75.63"
"Tue Jun 06 2023 15:04:00 GMT+0530 (India Standard Time)","18581.50","18581.50","18575.10","18577.25","67.85"
"Tue Jun 06 2023 15:05:00 GMT+0530 (India Standard Time)","18576.70","18580.00","18576.30","18579.00","69.18"
"Tue Jun 06 2023 15:06:00 GMT+0530 (India Standard Time)","18578.95","18585.10","18578.70","18583.50","72.34"
"Tue Jun 06 2023 15:07:00 GMT+0530 (India Standard Time)","18584.15","18588.55","18583.30","18587.80","74.99"
"Tue Jun 06 2023 15:08:00 GMT+0530 (India Standard Time)","18586.80","18590.05","18585.80","18590.05","76.26"
"Tue Jun 06 2023 15:09:00 GMT+0530 (India Standard Time)","18590.35","18596.85","18589.65","18596.85","79.65"
"Tue Jun 06 2023 15:10:00 GMT+0530 (India Standard Time)","18597.30","18602.00","18596.80","18602.00","81.77"
"Tue Jun 06 2023 15:11:00 GMT+0530 (India Standard Time)","18601.45","18610.30","18601.45","18609.00","84.18"
"Tue Jun 06 2023 15:12:00 GMT+0530 (India Standard Time)","18609.15","18610.70","18606.85","18609.40","84.31"
"Tue Jun 06 2023 15:13:00 GMT+0530 (India Standard Time)","18610.10","18613.15","18609.45","18609.45","84.32"
"Tue Jun 06 2023 15:14:00 GMT+0530 (India Standard Time)","18610.00","18610.85","18607.10","18608.60","82.68"
"Tue Jun 06 2023 15:15:00 GMT+0530 (India Standard Time)","18609.30","18612.45","18608.05","18611.30","83.76"
"Tue Jun 06 2023 15:16:00 GMT+0530 (India Standard Time)","18611.25","18611.35","18606.00","18606.00","73.99"
"Tue Jun 06 2023 15:17:00 GMT+0530 (India Standard Time)","18606.75","18607.40","18604.25","18605.10","72.44"
"Tue Jun 06 2023 15:18:00 GMT+0530 (India Standard Time)","18605.45","18612.75","18604.40","18612.20","76.60"
"Tue Jun 06 2023 15:19:00 GMT+0530 (India Standard Time)","18611.90","18612.10","18609.10","18611.10","74.72"
"Tue Jun 06 2023 15:20:00 GMT+0530 (India Standard Time)","18611.10","18614.55","18608.90","18610.75","74.09"
"Tue Jun 06 2023 15:21:00 GMT+0530 (India Standard Time)","18610.80","18616.15","18610.80","18615.95","77.14"
"Tue Jun 06 2023 15:22:00 GMT+0530 (India Standard Time)","18615.80","18618.60","18615.05","18618.45","78.46"
"Tue Jun 06 2023 15:23:00 GMT+0530 (India Standard Time)","18617.30","18618.85","18615.45","18618.85","78.67"
"Tue Jun 06 2023 15:24:00 GMT+0530 (India Standard Time)","18618.10","18620.60","18617.15","18620.00","79.29"
"Tue Jun 06 2023 15:25:00 GMT+0530 (India Standard Time)","18619.25","18620.30","18616.50","18617.75","74.66"
"Tue Jun 06 2023 15:26:00 GMT+0530 (India Standard Time)","18617.30","18620.65","18616.50","18619.20","75.65"
"Tue Jun 06 2023 15:27:00 GMT+0530 (India Standard Time)","18618.70","18622.05","18618.15","18619.80","76.06"
"Tue Jun 06 2023 15:28:00 GMT+0530 (India Standard Time)","18619.70","18621.20","18614.95","18617.05","70.15"
"Tue Jun 06 2023 15:29:00 GMT+0530 (India Standard Time)","18617.00","18621.90","18615.75","18617.10","70.20"
"Wed Jun 07 2023 09:15:00 GMT+0530 (India Standard Time)","18665.60","18671.40","18656.15","18671.40","89.27"
