"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Mon Jun 05 2023 10:15:00 GMT+0530 (India Standard Time)","76.55","77.10","74.35","74.65","37.48"
"Mon Jun 05 2023 10:16:00 GMT+0530 (India Standard Time)","74.35","76.85","74.10","76.85","44.70"
"Mon Jun 05 2023 10:17:00 GMT+0530 (India Standard Time)","76.70","77.00","74.35","75.45","41.42"
"Mon Jun 05 2023 10:18:00 GMT+0530 (India Standard Time)","75.50","75.95","74.10","74.20","38.69"
"Mon Jun 05 2023 10:19:00 GMT+0530 (India Standard Time)","74.05","74.20","70.60","71.60","33.72"
"Mon Jun 05 2023 10:20:00 GMT+0530 (India Standard Time)","71.20","72.25","70.25","70.60","32.02"
"Mon Jun 05 2023 10:21:00 GMT+0530 (India Standard Time)","70.50","70.60","68.75","69.10","29.60"
"Mon Jun 05 2023 10:22:00 GMT+0530 (India Standard Time)","68.55","71.20","68.55","70.15","33.39"
"Mon Jun 05 2023 10:23:00 GMT+0530 (India Standard Time)","70.45","72.55","69.80","72.35","40.61"
"Mon Jun 05 2023 10:24:00 GMT+0530 (India Standard Time)","72.40","72.65","71.25","72.35","40.61"
"Mon Jun 05 2023 10:25:00 GMT+0530 (India Standard Time)","72.25","73.75","70.30","70.40","36.54"
"Mon Jun 05 2023 10:26:00 GMT+0530 (India Standard Time)","70.15","71.00","69.70","70.40","36.54"
"Mon Jun 05 2023 10:27:00 GMT+0530 (India Standard Time)","70.65","72.60","70.30","72.30","42.99"
"Mon Jun 05 2023 10:28:00 GMT+0530 (India Standard Time)","71.65","74.70","71.65","74.70","49.92"
"Mon Jun 05 2023 10:29:00 GMT+0530 (India Standard Time)","74.55","75.85","74.05","75.80","52.76"
"Mon Jun 05 2023 10:30:00 GMT+0530 (India Standard Time)","75.70","79.55","75.70","77.55","56.93"
"Mon Jun 05 2023 10:31:00 GMT+0530 (India Standard Time)","78.05","78.40","75.55","77.40","56.47"
"Mon Jun 05 2023 10:32:00 GMT+0530 (India Standard Time)","77.40","78.40","75.55","76.00","52.22"
"Mon Jun 05 2023 10:33:00 GMT+0530 (India Standard Time)","76.15","77.70","75.40","77.30","55.57"
"Mon Jun 05 2023 10:34:00 GMT+0530 (India Standard Time)","76.95","77.95","75.40","77.60","56.33"
"Mon Jun 05 2023 10:35:00 GMT+0530 (India Standard Time)","77.30","77.85","75.50","76.55","52.92"
"Mon Jun 05 2023 10:36:00 GMT+0530 (India Standard Time)","76.65","77.80","75.00","75.00","48.27"
"Mon Jun 05 2023 10:37:00 GMT+0530 (India Standard Time)","75.00","77.45","74.65","77.35","54.76"
"Mon Jun 05 2023 10:38:00 GMT+0530 (India Standard Time)","77.40","79.30","77.10","78.55","57.67"
"Mon Jun 05 2023 10:39:00 GMT+0530 (India Standard Time)","78.30","79.60","77.90","79.40","59.66"
"Mon Jun 05 2023 10:40:00 GMT+0530 (India Standard Time)","79.50","80.35","77.80","78.00","55.08"
"Mon Jun 05 2023 10:41:00 GMT+0530 (India Standard Time)","77.85","80.10","77.50","79.00","57.58"
"Mon Jun 05 2023 10:42:00 GMT+0530 (India Standard Time)","79.50","79.95","78.15","79.95","59.87"
"Mon Jun 05 2023 10:43:00 GMT+0530 (India Standard Time)","79.85","80.00","78.45","78.85","56.10"
"Mon Jun 05 2023 10:44:00 GMT+0530 (India Standard Time)","78.85","79.30","73.75","74.50","44.22"
"Mon Jun 05 2023 10:45:00 GMT+0530 (India Standard Time)","72.20","74.50","69.55","71.85","38.83"
"Mon Jun 05 2023 10:46:00 GMT+0530 (India Standard Time)","71.75","73.35","69.95","70.25","35.98"
"Mon Jun 05 2023 10:47:00 GMT+0530 (India Standard Time)","70.25","72.20","70.10","72.05","41.21"
"Mon Jun 05 2023 10:48:00 GMT+0530 (India Standard Time)","71.85","73.40","71.50","72.90","43.55"
"Mon Jun 05 2023 10:49:00 GMT+0530 (India Standard Time)","73.30","74.60","72.95","73.85","46.14"
"Mon Jun 05 2023 10:50:00 GMT+0530 (India Standard Time)","74.30","75.50","73.55","74.05","46.70"
"Mon Jun 05 2023 10:51:00 GMT+0530 (India Standard Time)","73.85","76.15","73.25","75.75","51.28"
"Mon Jun 05 2023 10:52:00 GMT+0530 (India Standard Time)","76.10","77.55","74.40","75.70","51.14"
"Mon Jun 05 2023 10:53:00 GMT+0530 (India Standard Time)","75.80","77.00","74.60","76.65","53.72"
"Mon Jun 05 2023 10:54:00 GMT+0530 (India Standard Time)","76.75","77.15","75.65","76.00","51.71"
"Mon Jun 05 2023 10:55:00 GMT+0530 (India Standard Time)","75.60","76.25","73.15","73.15","43.95"
"Mon Jun 05 2023 10:56:00 GMT+0530 (India Standard Time)","73.40","77.45","73.15","76.50","52.90"
"Mon Jun 05 2023 10:57:00 GMT+0530 (India Standard Time)","76.10","77.65","75.40","77.00","54.07"
"Mon Jun 05 2023 10:58:00 GMT+0530 (India Standard Time)","77.00","78.25","75.15","75.15","49.17"
"Mon Jun 05 2023 10:59:00 GMT+0530 (India Standard Time)","75.55","75.85","73.35","73.40","45.02"
"Mon Jun 05 2023 11:00:00 GMT+0530 (India Standard Time)","73.25","74.05","72.05","72.85","43.77"
"Mon Jun 05 2023 11:01:00 GMT+0530 (India Standard Time)","73.50","74.65","73.40","73.90","46.81"
"Mon Jun 05 2023 11:02:00 GMT+0530 (India Standard Time)","74.00","74.80","73.35","73.55","45.92"
"Mon Jun 05 2023 11:03:00 GMT+0530 (India Standard Time)","73.45","74.20","72.75","73.30","45.25"
"Mon Jun 05 2023 11:04:00 GMT+0530 (India Standard Time)","73.05","73.50","72.10","72.65","43.50"
"Mon Jun 05 2023 11:05:00 GMT+0530 (India Standard Time)","72.25","73.20","71.60","71.85","41.37"
"Mon Jun 05 2023 11:06:00 GMT+0530 (India Standard Time)","71.90","72.45","70.75","72.20","42.69"
