"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue Jun 06 2023 14:49:00 GMT+0530 (India Standard Time)","12.65","12.75","12.40","12.50","40.16"
"Tue Jun 06 2023 14:50:00 GMT+0530 (India Standard Time)","12.55","12.65","12.40","12.50","40.16"
"Tue Jun 06 2023 14:51:00 GMT+0530 (India Standard Time)","12.55","12.65","12.20","12.60","42.33"
"Tue Jun 06 2023 14:52:00 GMT+0530 (India Standard Time)","12.70","12.75","12.20","12.20","36.60"
"Tue Jun 06 2023 14:53:00 GMT+0530 (India Standard Time)","12.10","12.20","11.60","11.70","30.96"
"Tue Jun 06 2023 14:54:00 GMT+0530 (India Standard Time)","11.75","12.15","11.65","12.15","39.93"
"Tue Jun 06 2023 14:55:00 GMT+0530 (India Standard Time)","12.20","12.50","12.05","12.50","45.83"
"Tue Jun 06 2023 14:56:00 GMT+0530 (India Standard Time)","12.45","12.95","12.35","12.90","51.68"
"Tue Jun 06 2023 14:57:00 GMT+0530 (India Standard Time)","12.95","13.25","12.80","12.85","50.94"
"Tue Jun 06 2023 14:58:00 GMT+0530 (India Standard Time)","12.90","13.10","12.65","12.80","50.16"
"Tue Jun 06 2023 14:59:00 GMT+0530 (India Standard Time)","12.80","12.85","12.35","12.75","49.36"
"Tue Jun 06 2023 15:00:00 GMT+0530 (India Standard Time)","12.90","14.05","12.75","13.75","62.39"
"Tue Jun 06 2023 15:01:00 GMT+0530 (India Standard Time)","13.85","14.05","13.50","13.85","63.40"
"Tue Jun 06 2023 15:02:00 GMT+0530 (India Standard Time)","13.90","14.15","13.70","13.80","62.49"
"Tue Jun 06 2023 15:03:00 GMT+0530 (India Standard Time)","13.75","15.05","13.65","14.85","71.66"
"Tue Jun 06 2023 15:04:00 GMT+0530 (India Standard Time)","14.95","15.00","14.30","14.70","69.06"
"Tue Jun 06 2023 15:05:00 GMT+0530 (India Standard Time)","14.90","15.00","14.25","14.90","70.60"
"Tue Jun 06 2023 15:06:00 GMT+0530 (India Standard Time)","14.95","15.30","14.75","15.05","71.73"
"Tue Jun 06 2023 15:07:00 GMT+0530 (India Standard Time)","14.95","15.40","14.95","14.95","69.80"
"Tue Jun 06 2023 15:08:00 GMT+0530 (India Standard Time)","15.00","15.35","14.85","15.25","72.21"
"Tue Jun 06 2023 15:09:00 GMT+0530 (India Standard Time)","15.35","15.95","15.25","15.95","76.85"
"Tue Jun 06 2023 15:10:00 GMT+0530 (India Standard Time)","16.10","17.45","16.05","17.45","83.29"
"Tue Jun 06 2023 15:11:00 GMT+0530 (India Standard Time)","17.65","18.95","17.45","18.05","85.08"
"Tue Jun 06 2023 15:12:00 GMT+0530 (India Standard Time)","18.05","19.15","17.95","19.10","87.59"
"Tue Jun 06 2023 15:13:00 GMT+0530 (India Standard Time)","19.00","20.00","18.70","18.80","83.28"
"Tue Jun 06 2023 15:14:00 GMT+0530 (India Standard Time)","18.75","19.35","17.40","19.30","84.64"
"Tue Jun 06 2023 15:15:00 GMT+0530 (India Standard Time)","19.45","19.80","18.85","19.05","81.10"
"Tue Jun 06 2023 15:16:00 GMT+0530 (India Standard Time)","18.80","19.05","17.10","17.10","60.03"
"Tue Jun 06 2023 15:17:00 GMT+0530 (India Standard Time)","17.10","17.95","16.90","17.45","61.94"
"Tue Jun 06 2023 15:18:00 GMT+0530 (India Standard Time)","17.50","19.35","17.45","19.15","69.55"
"Tue Jun 06 2023 15:19:00 GMT+0530 (India Standard Time)","19.20","19.30","18.30","19.15","69.55"
"Tue Jun 06 2023 15:20:00 GMT+0530 (India Standard Time)","19.25","19.30","18.75","18.90","67.26"
"Tue Jun 06 2023 15:21:00 GMT+0530 (India Standard Time)","19.00","19.80","18.85","19.75","70.79"
"Tue Jun 06 2023 15:22:00 GMT+0530 (India Standard Time)","19.85","19.95","19.15","19.20","65.84"
"Tue Jun 06 2023 15:23:00 GMT+0530 (India Standard Time)","19.40","19.80","19.10","19.80","68.43"
"Tue Jun 06 2023 15:24:00 GMT+0530 (India Standard Time)","19.75","20.15","19.75","20.00","69.27"
"Tue Jun 06 2023 15:25:00 GMT+0530 (India Standard Time)","20.00","20.05","19.20","19.70","66.43"
"Tue Jun 06 2023 15:26:00 GMT+0530 (India Standard Time)","19.75","20.00","19.55","19.70","66.43"
"Tue Jun 06 2023 15:27:00 GMT+0530 (India Standard Time)","19.60","20.00","19.55","19.95","67.71"
"Tue Jun 06 2023 15:28:00 GMT+0530 (India Standard Time)","19.95","19.95","19.55","19.60","64.02"
"Tue Jun 06 2023 15:29:00 GMT+0530 (India Standard Time)","19.70","20.60","19.60","20.60","69.18"
"Wed Jun 07 2023 09:15:00 GMT+0530 (India Standard Time)","55.05","55.05","24.50","31.00","88.18"
"Wed Jun 07 2023 09:16:00 GMT+0530 (India Standard Time)","31.25","33.60","29.35","29.85","82.15"
"Wed Jun 07 2023 09:17:00 GMT+0530 (India Standard Time)","30.15","30.40","28.50","29.60","80.85"
"Wed Jun 07 2023 09:18:00 GMT+0530 (India Standard Time)","29.60","29.60","27.95","28.10","73.38"
"Wed Jun 07 2023 09:19:00 GMT+0530 (India Standard Time)","27.60","28.50","26.85","27.20","69.25"
"Wed Jun 07 2023 09:20:00 GMT+0530 (India Standard Time)","27.20","27.25","25.00","25.85","63.47"
"Wed Jun 07 2023 09:21:00 GMT+0530 (India Standard Time)","25.25","27.65","25.00","27.55","67.18"
