"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Thu Jun 08 2023 15:06:00 GMT+0530 (India Standard Time)","67.20","67.20","64.40","66.10","53.60"
"Thu Jun 08 2023 15:07:00 GMT+0530 (India Standard Time)","66.10","71.15","66.10","71.15","57.75"
"Thu Jun 08 2023 15:08:00 GMT+0530 (India Standard Time)","71.15","74.05","71.15","74.05","59.97"
"Thu Jun 08 2023 15:09:00 GMT+0530 (India Standard Time)","74.05","87.70","74.05","84.85","66.92"
"Thu Jun 08 2023 15:10:00 GMT+0530 (India Standard Time)","84.85","84.85","76.00","76.00","58.02"
"Thu Jun 08 2023 15:11:00 GMT+0530 (India Standard Time)","76.00","76.00","73.30","73.30","55.60"
"Thu Jun 08 2023 15:12:00 GMT+0530 (India Standard Time)","73.30","73.30","73.30","73.30","55.60"
"Thu Jun 08 2023 15:13:00 GMT+0530 (India Standard Time)","73.30","76.55","70.45","76.45","57.98"
"Thu Jun 08 2023 15:14:00 GMT+0530 (India Standard Time)","76.45","78.80","76.45","78.80","59.71"
"Thu Jun 08 2023 15:15:00 GMT+0530 (India Standard Time)","78.80","85.00","78.80","85.00","63.94"
"Thu Jun 08 2023 15:16:00 GMT+0530 (India Standard Time)","85.00","92.95","85.00","92.95","68.51"
"Thu Jun 08 2023 15:17:00 GMT+0530 (India Standard Time)","92.95","95.05","88.10","93.20","68.64"
"Thu Jun 08 2023 15:18:00 GMT+0530 (India Standard Time)","93.20","93.20","84.30","84.90","59.55"
"Thu Jun 08 2023 15:19:00 GMT+0530 (India Standard Time)","84.90","86.00","84.90","86.00","60.30"
"Thu Jun 08 2023 15:20:00 GMT+0530 (India Standard Time)","86.00","86.00","80.00","80.00","54.37"
"Thu Jun 08 2023 15:21:00 GMT+0530 (India Standard Time)","80.00","80.00","78.00","78.00","52.52"
"Thu Jun 08 2023 15:22:00 GMT+0530 (India Standard Time)","78.00","78.00","73.00","73.20","48.27"
"Thu Jun 08 2023 15:23:00 GMT+0530 (India Standard Time)","73.20","73.20","71.40","71.40","46.74"
"Thu Jun 08 2023 15:24:00 GMT+0530 (India Standard Time)","71.40","80.00","71.40","73.20","48.50"
"Thu Jun 08 2023 15:25:00 GMT+0530 (India Standard Time)","73.20","74.00","73.20","74.00","49.30"
"Thu Jun 08 2023 15:26:00 GMT+0530 (India Standard Time)","74.00","77.00","72.30","74.00","49.30"
"Thu Jun 08 2023 15:27:00 GMT+0530 (India Standard Time)","74.00","74.00","73.00","73.00","48.21"
"Thu Jun 08 2023 15:28:00 GMT+0530 (India Standard Time)","73.00","73.00","69.75","69.75","44.76"
