"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Thu Jun 08 2023 14:53:00 GMT+0530 (India Standard Time)","192.90","192.90","179.70","182.15","14.89"
"Thu Jun 08 2023 14:54:00 GMT+0530 (India Standard Time)","182.15","182.15","182.15","182.15","14.89"
"Thu Jun 08 2023 14:55:00 GMT+0530 (India Standard Time)","182.15","182.15","182.15","182.15","14.89"
"Thu Jun 08 2023 14:56:00 GMT+0530 (India Standard Time)","182.15","185.10","180.00","180.00","14.50"
"Thu Jun 08 2023 14:57:00 GMT+0530 (India Standard Time)","180.00","184.50","179.40","184.15","18.94"
"Thu Jun 08 2023 14:58:00 GMT+0530 (India Standard Time)","184.15","184.15","160.35","164.40","14.96"
"Thu Jun 08 2023 14:59:00 GMT+0530 (India Standard Time)","164.40","164.40","164.40","164.40","14.96"
"Thu Jun 08 2023 15:00:00 GMT+0530 (India Standard Time)","164.40","164.40","164.40","164.40","14.96"
"Thu Jun 08 2023 15:01:00 GMT+0530 (India Standard Time)","164.40","183.65","160.75","160.75","14.26"
"Thu Jun 08 2023 15:02:00 GMT+0530 (India Standard Time)","160.75","160.75","155.20","159.55","14.03"
"Thu Jun 08 2023 15:03:00 GMT+0530 (India Standard Time)","159.55","179.10","159.55","179.10","33.00"
"Thu Jun 08 2023 15:04:00 GMT+0530 (India Standard Time)","179.10","181.70","179.10","181.70","35.05"
"Thu Jun 08 2023 15:05:00 GMT+0530 (India Standard Time)","181.70","181.70","181.70","181.70","35.05"
"Thu Jun 08 2023 15:06:00 GMT+0530 (India Standard Time)","181.70","181.70","181.70","181.70","35.05"
"Thu Jun 08 2023 15:07:00 GMT+0530 (India Standard Time)","181.70","181.70","173.05","173.05","31.09"
"Thu Jun 08 2023 15:08:00 GMT+0530 (India Standard Time)","173.05","173.05","165.35","165.35","28.06"
"Thu Jun 08 2023 15:09:00 GMT+0530 (India Standard Time)","165.35","165.35","157.25","157.25","25.26"
"Thu Jun 08 2023 15:10:00 GMT+0530 (India Standard Time)","157.25","165.00","157.25","165.00","32.22"
"Thu Jun 08 2023 15:11:00 GMT+0530 (India Standard Time)","165.00","175.80","165.00","171.00","37.10"
"Thu Jun 08 2023 15:12:00 GMT+0530 (India Standard Time)","171.00","177.00","171.00","177.00","41.63"
"Thu Jun 08 2023 15:13:00 GMT+0530 (India Standard Time)","177.00","177.00","166.80","166.80","36.78"
"Thu Jun 08 2023 15:14:00 GMT+0530 (India Standard Time)","166.80","170.00","160.00","162.50","34.93"
"Thu Jun 08 2023 15:15:00 GMT+0530 (India Standard Time)","162.50","162.50","150.00","150.00","30.19"
"Thu Jun 08 2023 15:16:00 GMT+0530 (India Standard Time)","150.00","150.50","140.00","140.00","27.03"
"Thu Jun 08 2023 15:17:00 GMT+0530 (India Standard Time)","140.00","153.00","140.00","153.00","36.36"
"Thu Jun 08 2023 15:18:00 GMT+0530 (India Standard Time)","153.00","162.35","153.00","158.20","39.68"
"Thu Jun 08 2023 15:19:00 GMT+0530 (India Standard Time)","158.20","161.05","158.20","160.45","41.12"
"Thu Jun 08 2023 15:20:00 GMT+0530 (India Standard Time)","160.45","160.45","160.45","160.45","41.12"
"Thu Jun 08 2023 15:21:00 GMT+0530 (India Standard Time)","160.45","168.00","160.45","168.00","46.10"
"Thu Jun 08 2023 15:22:00 GMT+0530 (India Standard Time)","168.00","175.00","168.00","175.00","50.30"
"Thu Jun 08 2023 15:23:00 GMT+0530 (India Standard Time)","175.00","180.90","175.00","176.00","50.89"
"Thu Jun 08 2023 15:24:00 GMT+0530 (India Standard Time)","176.00","181.55","176.00","179.55","53.01"
"Thu Jun 08 2023 15:25:00 GMT+0530 (India Standard Time)","179.55","180.10","179.10","179.10","52.70"
"Thu Jun 08 2023 15:26:00 GMT+0530 (India Standard Time)","179.10","179.10","172.00","172.00","47.92"
"Thu Jun 08 2023 15:27:00 GMT+0530 (India Standard Time)","172.00","180.00","172.00","180.00","53.09"
"Thu Jun 08 2023 15:28:00 GMT+0530 (India Standard Time)","178.00","180.00","178.00","178.85","52.28"
"Thu Jun 08 2023 15:29:00 GMT+0530 (India Standard Time)","178.85","178.85","178.00","178.00","51.66"
"Fri Jun 09 2023 09:15:00 GMT+0530 (India Standard Time)","178.00","178.00","150.00","150.00","36.32"
"Fri Jun 09 2023 09:16:00 GMT+0530 (India Standard Time)","150.00","200.00","150.00","199.00","59.17"
"Fri Jun 09 2023 09:17:00 GMT+0530 (India Standard Time)","199.00","210.00","180.00","210.00","62.43"
"Fri Jun 09 2023 09:18:00 GMT+0530 (India Standard Time)","210.00","220.00","200.00","210.00","62.43"
"Fri Jun 09 2023 09:19:00 GMT+0530 (India Standard Time)","210.00","250.00","210.00","230.00","67.84"
"Fri Jun 09 2023 09:20:00 GMT+0530 (India Standard Time)","229.80","230.00","222.95","223.95","64.80"
"Fri Jun 09 2023 09:21:00 GMT+0530 (India Standard Time)","220.00","220.50","211.25","215.90","60.89"
"Fri Jun 09 2023 09:22:00 GMT+0530 (India Standard Time)","215.90","215.90","191.10","205.00","55.96"
"Fri Jun 09 2023 09:23:00 GMT+0530 (India Standard Time)","205.35","209.90","203.00","209.25","57.41"
"Fri Jun 09 2023 09:24:00 GMT+0530 (India Standard Time)","209.25","209.25","195.90","199.00","52.90"
"Fri Jun 09 2023 09:25:00 GMT+0530 (India Standard Time)","199.00","203.00","177.20","197.85","52.40"
"Fri Jun 09 2023 09:26:00 GMT+0530 (India Standard Time)","202.80","205.00","194.00","203.50","54.66"
"Fri Jun 09 2023 09:27:00 GMT+0530 (India Standard Time)","203.50","203.50","192.65","192.65","49.77"
"Fri Jun 09 2023 09:28:00 GMT+0530 (India Standard Time)","192.65","192.65","184.55","190.20","48.72"
"Fri Jun 09 2023 09:29:00 GMT+0530 (India Standard Time)","190.20","190.20","159.20","160.00","37.99"
"Fri Jun 09 2023 09:30:00 GMT+0530 (India Standard Time)","160.00","160.00","137.90","156.00","36.84"
"Fri Jun 09 2023 09:31:00 GMT+0530 (India Standard Time)","156.00","180.00","156.00","166.20","41.71"
"Fri Jun 09 2023 09:32:00 GMT+0530 (India Standard Time)","166.20","168.00","155.00","160.45","39.84"
"Fri Jun 09 2023 09:33:00 GMT+0530 (India Standard Time)","158.70","158.70","145.50","151.70","37.12"
"Fri Jun 09 2023 09:34:00 GMT+0530 (India Standard Time)","151.70","153.00","125.60","125.60","30.44"
"Fri Jun 09 2023 09:35:00 GMT+0530 (India Standard Time)","127.45","128.00","112.10","116.50","28.52"
"Fri Jun 09 2023 09:36:00 GMT+0530 (India Standard Time)","116.50","126.00","114.00","116.00","28.41"
"Fri Jun 09 2023 09:37:00 GMT+0530 (India Standard Time)","116.00","123.25","103.75","107.00","26.49"
"Fri Jun 09 2023 09:38:00 GMT+0530 (India Standard Time)","105.90","123.25","104.00","110.00","28.23"
"Fri Jun 09 2023 09:39:00 GMT+0530 (India Standard Time)","113.30","118.35","109.00","117.10","32.31"
"Fri Jun 09 2023 09:40:00 GMT+0530 (India Standard Time)","117.10","117.10","105.85","107.90","29.94"
"Fri Jun 09 2023 09:41:00 GMT+0530 (India Standard Time)","107.30","116.00","107.30","115.05","33.99"
"Fri Jun 09 2023 09:42:00 GMT+0530 (India Standard Time)","115.05","118.40","111.00","114.00","33.69"
"Fri Jun 09 2023 09:43:00 GMT+0530 (India Standard Time)","115.00","115.00","106.90","115.00","34.30"
"Fri Jun 09 2023 09:44:00 GMT+0530 (India Standard Time)","115.00","116.00","110.00","113.45","33.78"
"Fri Jun 09 2023 09:45:00 GMT+0530 (India Standard Time)","113.45","129.85","113.35","129.85","43.53"
"Fri Jun 09 2023 09:46:00 GMT+0530 (India Standard Time)","132.40","160.00","132.00","154.05","54.25"
"Fri Jun 09 2023 09:47:00 GMT+0530 (India Standard Time)","154.05","163.00","154.05","157.10","55.40"
"Fri Jun 09 2023 09:48:00 GMT+0530 (India Standard Time)","158.00","161.00","154.60","155.80","54.76"
"Fri Jun 09 2023 09:49:00 GMT+0530 (India Standard Time)","155.80","173.00","154.05","173.00","61.08"
"Fri Jun 09 2023 09:50:00 GMT+0530 (India Standard Time)","175.45","197.10","175.45","187.20","65.38"
"Fri Jun 09 2023 09:51:00 GMT+0530 (India Standard Time)","189.20","190.70","170.00","170.00","57.15"
"Fri Jun 09 2023 09:52:00 GMT+0530 (India Standard Time)","170.00","181.35","169.60","181.35","60.67"
"Fri Jun 09 2023 09:53:00 GMT+0530 (India Standard Time)","181.35","182.75","165.25","170.00","55.74"
"Fri Jun 09 2023 09:54:00 GMT+0530 (India Standard Time)","172.30","181.25","172.00","175.15","57.43"
"Fri Jun 09 2023 09:55:00 GMT+0530 (India Standard Time)","175.15","193.70","168.50","184.10","60.27"
"Fri Jun 09 2023 09:56:00 GMT+0530 (India Standard Time)","184.20","185.80","169.65","169.65","54.00"
"Fri Jun 09 2023 09:57:00 GMT+0530 (India Standard Time)","169.65","180.95","166.80","179.75","57.34"
"Fri Jun 09 2023 09:58:00 GMT+0530 (India Standard Time)","184.20","191.00","179.85","181.85","58.02"
"Fri Jun 09 2023 09:59:00 GMT+0530 (India Standard Time)","185.00","194.00","183.60","194.00","61.83"
"Fri Jun 09 2023 10:00:00 GMT+0530 (India Standard Time)","194.00","204.25","185.00","194.10","61.86"
"Fri Jun 09 2023 10:01:00 GMT+0530 (India Standard Time)","194.10","198.65","185.85","189.95","59.71"
"Fri Jun 09 2023 10:02:00 GMT+0530 (India Standard Time)","190.00","192.95","187.50","187.50","58.43"
"Fri Jun 09 2023 10:03:00 GMT+0530 (India Standard Time)","187.50","187.50","173.15","179.15","54.15"
"Fri Jun 09 2023 10:04:00 GMT+0530 (India Standard Time)","179.15","182.45","174.00","175.05","52.13"
"Fri Jun 09 2023 10:05:00 GMT+0530 (India Standard Time)","175.05","188.55","175.05","182.45","55.37"
"Fri Jun 09 2023 10:06:00 GMT+0530 (India Standard Time)","182.45","185.00","171.00","181.70","54.96"
"Fri Jun 09 2023 10:07:00 GMT+0530 (India Standard Time)","181.70","181.70","169.75","171.55","49.66"
"Fri Jun 09 2023 10:08:00 GMT+0530 (India Standard Time)","174.15","175.05","170.00","172.00","49.89"
"Fri Jun 09 2023 10:09:00 GMT+0530 (India Standard Time)","172.00","172.00","165.00","166.45","47.03"
"Fri Jun 09 2023 10:10:00 GMT+0530 (India Standard Time)","166.45","169.00","162.00","162.00","44.81"
"Fri Jun 09 2023 10:11:00 GMT+0530 (India Standard Time)","162.00","162.50","160.00","160.00","43.81"
"Fri Jun 09 2023 10:12:00 GMT+0530 (India Standard Time)","160.00","160.50","143.00","143.00","36.37"
"Fri Jun 09 2023 10:13:00 GMT+0530 (India Standard Time)","143.00","143.00","119.00","120.00","29.16"
