"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Thu Jun 08 2023 15:11:00 GMT+0530 (India Standard Time)","0.0975","0.0975","0.0925","0.0950","66.4229"
"Thu Jun 08 2023 15:12:00 GMT+0530 (India Standard Time)","0.0950","0.0975","0.0950","0.0975","70.6953"
"Thu Jun 08 2023 15:13:00 GMT+0530 (India Standard Time)","0.0975","0.0975","0.0925","0.0925","55.4881"
"Thu Jun 08 2023 15:14:00 GMT+0530 (India Standard Time)","0.0950","0.0950","0.0900","0.0925","55.4881"
"Thu Jun 08 2023 15:15:00 GMT+0530 (India Standard Time)","0.0925","0.0950","0.0925","0.0925","55.4881"
"Thu Jun 08 2023 15:16:00 GMT+0530 (India Standard Time)","0.0925","0.0925","0.0925","0.0925","55.4881"
"Thu Jun 08 2023 15:17:00 GMT+0530 (India Standard Time)","0.0925","0.0925","0.0875","0.0875","43.0363"
"Thu Jun 08 2023 15:18:00 GMT+0530 (India Standard Time)","0.0875","0.0900","0.0850","0.0875","43.0363"
"Thu Jun 08 2023 15:19:00 GMT+0530 (India Standard Time)","0.0875","0.0900","0.0875","0.0875","43.0363"
"Thu Jun 08 2023 15:20:00 GMT+0530 (India Standard Time)","0.0875","0.0900","0.0875","0.0875","43.0363"
"Thu Jun 08 2023 15:21:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0900","50.5059"
"Thu Jun 08 2023 15:22:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0900","50.5059"
"Thu Jun 08 2023 15:23:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0900","0.0900","50.5059"
"Thu Jun 08 2023 15:24:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0900","50.5059"
"Thu Jun 08 2023 15:25:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0900","50.5059"
"Thu Jun 08 2023 15:26:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0900","50.5059"
"Thu Jun 08 2023 15:27:00 GMT+0530 (India Standard Time)","0.0900","0.0925","0.0900","0.0925","58.9108"
"Thu Jun 08 2023 15:28:00 GMT+0530 (India Standard Time)","0.0925","0.0950","0.0925","0.0950","65.2634"
"Thu Jun 08 2023 15:29:00 GMT+0530 (India Standard Time)","0.0950","0.0950","0.0925","0.0950","65.2634"
"Thu Jun 08 2023 15:30:00 GMT+0530 (India Standard Time)","0.0950","0.0950","0.0925","0.0950","65.2634"
"Thu Jun 08 2023 15:31:00 GMT+0530 (India Standard Time)","0.0900","0.0925","0.0900","0.0925","54.7008"
"Thu Jun 08 2023 15:32:00 GMT+0530 (India Standard Time)","0.0925","0.0925","0.0900","0.0900","46.5818"
"Thu Jun 08 2023 15:33:00 GMT+0530 (India Standard Time)","0.0925","0.0925","0.0900","0.0900","46.5818"
"Thu Jun 08 2023 15:34:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0875","39.7409"
"Thu Jun 08 2023 15:35:00 GMT+0530 (India Standard Time)","0.0875","0.0900","0.0875","0.0900","47.9697"
"Thu Jun 08 2023 15:36:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0900","47.9697"
"Thu Jun 08 2023 15:37:00 GMT+0530 (India Standard Time)","0.0900","0.0900","0.0875","0.0875","41.4112"
"Thu Jun 08 2023 15:38:00 GMT+0530 (India Standard Time)","0.0875","0.0900","0.0875","0.0875","41.4112"
"Thu Jun 08 2023 15:39:00 GMT+0530 (India Standard Time)","0.0875","0.0875","0.0850","0.0850","35.7436"
"Thu Jun 08 2023 15:40:00 GMT+0530 (India Standard Time)","0.0850","0.0875","0.0850","0.0850","35.7436"
"Thu Jun 08 2023 15:41:00 GMT+0530 (India Standard Time)","0.0850","0.0850","0.0850","0.0850","35.7436"
"Thu Jun 08 2023 15:42:00 GMT+0530 (India Standard Time)","0.0850","0.0875","0.0825","0.0850","35.7436"
"Thu Jun 08 2023 15:43:00 GMT+0530 (India Standard Time)","0.0850","0.0875","0.0850","0.0875","45.7334"
"Thu Jun 08 2023 15:44:00 GMT+0530 (India Standard Time)","0.0875","0.0875","0.0850","0.0875","45.7334"
"Thu Jun 08 2023 15:45:00 GMT+0530 (India Standard Time)","0.0875","0.0875","0.0850","0.0850","38.7470"
"Thu Jun 08 2023 15:46:00 GMT+0530 (India Standard Time)","0.0850","0.0850","0.0850","0.0850","38.7470"
"Thu Jun 08 2023 15:47:00 GMT+0530 (India Standard Time)","0.0850","0.0875","0.0850","0.0850","38.7470"
"Thu Jun 08 2023 15:48:00 GMT+0530 (India Standard Time)","0.0850","0.0875","0.0850","0.0875","48.5613"
"Thu Jun 08 2023 15:49:00 GMT+0530 (India Standard Time)","0.0875","0.0875","0.0850","0.0875","48.5613"
