"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Thu Jun 08 2023 15:47:00 GMT+0530 (India Standard Time)","0.0175","0.0200","0.0175","0.0200","47.0487"
"Thu Jun 08 2023 15:48:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","47.0487"
"Thu Jun 08 2023 15:49:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","47.0487"
"Thu Jun 08 2023 15:50:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.0487"
"Thu Jun 08 2023 15:51:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0175","0.0225","56.8745"
"Thu Jun 08 2023 15:52:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0175","0.0200","47.4019"
"Thu Jun 08 2023 15:53:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","47.4019"
"Thu Jun 08 2023 15:54:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0175","0.0200","47.4019"
"Thu Jun 08 2023 15:55:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.4019"
"Thu Jun 08 2023 15:56:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.4019"
"Thu Jun 08 2023 15:57:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","57.6251"
"Thu Jun 08 2023 15:58:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0200","47.6510"
"Thu Jun 08 2023 15:59:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","55.8758"
"Thu Jun 08 2023 16:00:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","47.7897"
"Thu Jun 08 2023 16:01:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","47.7897"
"Thu Jun 08 2023 16:02:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.7897"
"Thu Jun 08 2023 16:03:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","55.7819"
"Thu Jun 08 2023 16:04:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0225","55.7819"
"Thu Jun 08 2023 16:05:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0200","47.3719"
"Thu Jun 08 2023 16:06:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","54.7232"
"Thu Jun 08 2023 16:07:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0225","54.7232"
"Thu Jun 08 2023 16:08:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0200","47.0939"
"Thu Jun 08 2023 16:09:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","54.0003"
"Thu Jun 08 2023 16:10:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0200","47.3445"
"Thu Jun 08 2023 16:11:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.3445"
"Thu Jun 08 2023 16:12:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","47.3445"
"Thu Jun 08 2023 16:13:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.3445"
"Thu Jun 08 2023 16:14:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","54.8326"
"Thu Jun 08 2023 16:15:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0225","54.8326"
"Thu Jun 08 2023 16:16:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0200","47.0695"
"Thu Jun 08 2023 16:17:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.0695"
"Thu Jun 08 2023 16:18:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","54.5347"
"Thu Jun 08 2023 16:19:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0200","47.3438"
"Thu Jun 08 2023 16:20:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.3438"
"Thu Jun 08 2023 16:21:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.3438"
"Thu Jun 08 2023 16:22:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.3438"
"Thu Jun 08 2023 16:23:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0200","0.0200","47.3438"
"Thu Jun 08 2023 16:24:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.3438"
"Thu Jun 08 2023 16:25:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.3438"
"Thu Jun 08 2023 16:26:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0225","56.8927"
"Thu Jun 08 2023 16:27:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0175","0.0200","47.5973"
"Thu Jun 08 2023 16:28:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0175","0.0200","47.5973"
"Thu Jun 08 2023 16:29:00 GMT+0530 (India Standard Time)","0.0200","0.0225","0.0200","0.0200","47.5973"
"Thu Jun 08 2023 16:30:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","47.5973"
"Thu Jun 08 2023 16:31:00 GMT+0530 (India Standard Time)","0.0225","0.0225","0.0225","0.0225","57.0386"
"Thu Jun 08 2023 16:32:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0175","0.0200","47.7699"
"Thu Jun 08 2023 16:33:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0175","0.0175","40.6553"
"Thu Jun 08 2023 16:34:00 GMT+0530 (India Standard Time)","0.0175","0.0200","0.0175","0.0200","48.8580"
"Thu Jun 08 2023 16:35:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0175","0.0200","48.8580"
"Thu Jun 08 2023 16:36:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0200","0.0200","48.8580"
"Thu Jun 08 2023 16:37:00 GMT+0530 (India Standard Time)","0.0200","0.0200","0.0175","0.0200","48.8580"
"Thu Jun 08 2023 16:38:00 GMT+0530 (India Standard Time)","0.0175","0.0200","0.0175","0.0175","41.1986"
"Thu Jun 08 2023 16:39:00 GMT+0530 (India Standard Time)","0.0175","0.0200","0.0175","0.0175","41.1986"
"Thu Jun 08 2023 16:40:00 GMT+0530 (India Standard Time)","0.0175","0.0200","0.0175","0.0175","41.1986"
