"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Thu Jun 08 2023 15:47:00 GMT+0530 (India Standard Time)","82.5725","82.5725","82.5725","82.5725","58.6395"
"Thu Jun 08 2023 15:48:00 GMT+0530 (India Standard Time)","82.5725","82.5725","82.5700","82.5700","52.5698"
"Thu Jun 08 2023 15:49:00 GMT+0530 (India Standard Time)","82.5675","82.5675","82.5650","82.5675","47.2975"
"Thu Jun 08 2023 15:50:00 GMT+0530 (India Standard Time)","82.5675","82.5675","82.5650","82.5675","47.2975"
"Thu Jun 08 2023 15:51:00 GMT+0530 (India Standard Time)","82.5675","82.5700","82.5675","82.5700","52.7888"
"Thu Jun 08 2023 15:52:00 GMT+0530 (India Standard Time)","82.5700","82.5700","82.5700","82.5700","52.7888"
"Thu Jun 08 2023 15:53:00 GMT+0530 (India Standard Time)","82.5700","82.5725","82.5700","82.5700","52.7888"
"Thu Jun 08 2023 15:54:00 GMT+0530 (India Standard Time)","82.5700","82.5700","82.5625","82.5625","37.9663"
"Thu Jun 08 2023 15:55:00 GMT+0530 (India Standard Time)","82.5625","82.5675","82.5625","82.5675","48.3738"
"Thu Jun 08 2023 15:56:00 GMT+0530 (India Standard Time)","82.5675","82.5675","82.5675","82.5675","48.3738"
"Thu Jun 08 2023 15:57:00 GMT+0530 (India Standard Time)","82.5675","82.5675","82.5625","82.5625","40.4946"
"Thu Jun 08 2023 15:58:00 GMT+0530 (India Standard Time)","82.5625","82.5650","82.5625","82.5625","40.4946"
"Thu Jun 08 2023 15:59:00 GMT+0530 (India Standard Time)","82.5625","82.5650","82.5625","82.5650","45.6299"
"Thu Jun 08 2023 16:00:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5650","82.5650","45.6299"
"Thu Jun 08 2023 16:01:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5650","82.5650","45.6299"
"Thu Jun 08 2023 16:02:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5625","82.5650","45.6299"
"Thu Jun 08 2023 16:03:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5600","82.5600","37.0325"
"Thu Jun 08 2023 16:04:00 GMT+0530 (India Standard Time)","82.5600","82.5600","82.5550","82.5575","33.6215"
"Thu Jun 08 2023 16:05:00 GMT+0530 (India Standard Time)","82.5575","82.5575","82.5575","82.5575","33.6215"
"Thu Jun 08 2023 16:06:00 GMT+0530 (India Standard Time)","82.5575","82.5575","82.5550","82.5550","30.3765"
"Thu Jun 08 2023 16:07:00 GMT+0530 (India Standard Time)","82.5550","82.5575","82.5550","82.5575","36.9318"
"Thu Jun 08 2023 16:08:00 GMT+0530 (India Standard Time)","82.5575","82.5600","82.5575","82.5600","42.7379"
"Thu Jun 08 2023 16:09:00 GMT+0530 (India Standard Time)","82.5600","82.5625","82.5600","82.5600","42.7379"
"Thu Jun 08 2023 16:10:00 GMT+0530 (India Standard Time)","82.5600","82.5650","82.5600","82.5650","52.8139"
"Thu Jun 08 2023 16:11:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5650","82.5650","52.8139"
"Thu Jun 08 2023 16:12:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5650","82.5650","52.8139"
"Thu Jun 08 2023 16:13:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5625","82.5625","47.5850"
"Thu Jun 08 2023 16:14:00 GMT+0530 (India Standard Time)","82.5625","82.5625","82.5600","82.5600","43.0001"
"Thu Jun 08 2023 16:15:00 GMT+0530 (India Standard Time)","82.5600","82.5625","82.5600","82.5600","43.0001"
"Thu Jun 08 2023 16:16:00 GMT+0530 (India Standard Time)","82.5600","82.5600","82.5600","82.5600","43.0001"
"Thu Jun 08 2023 16:17:00 GMT+0530 (India Standard Time)","82.5600","82.5625","82.5600","82.5625","49.1227"
"Thu Jun 08 2023 16:18:00 GMT+0530 (India Standard Time)","82.5625","82.5650","82.5600","82.5650","54.3977"
"Thu Jun 08 2023 16:19:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5600","82.5600","44.4675"
"Thu Jun 08 2023 16:20:00 GMT+0530 (India Standard Time)","82.5625","82.5625","82.5600","82.5600","44.4675"
"Thu Jun 08 2023 16:21:00 GMT+0530 (India Standard Time)","82.5600","82.5650","82.5600","82.5650","54.1703"
"Thu Jun 08 2023 16:22:00 GMT+0530 (India Standard Time)","82.5650","82.5650","82.5625","82.5625","49.5121"
"Thu Jun 08 2023 16:23:00 GMT+0530 (India Standard Time)","82.5625","82.5625","82.5600","82.5600","45.3156"
"Thu Jun 08 2023 16:24:00 GMT+0530 (India Standard Time)","82.5600","82.5600","82.5600","82.5600","45.3156"
"Thu Jun 08 2023 16:25:00 GMT+0530 (India Standard Time)","82.5600","82.5625","82.5600","82.5600","45.3156"
"Thu Jun 08 2023 16:26:00 GMT+0530 (India Standard Time)","82.5600","82.5600","82.5575","82.5575","40.9777"
"Thu Jun 08 2023 16:27:00 GMT+0530 (India Standard Time)","82.5575","82.5575","82.5575","82.5575","40.9777"
