"Date","Open","High","Low","Close","RSI ‌rsi‌ (14)"
"Tue May 09 2023 13:55:00 GMT+0530 (India Standard Time)","50.55","54.15","46.00","46.00","23.60"
"Tue May 09 2023 14:00:00 GMT+0530 (India Standard Time)","45.40","45.85","38.85","41.75","21.34"
"Tue May 09 2023 14:05:00 GMT+0530 (India Standard Time)","41.70","45.90","40.05","45.40","27.75"
"Tue May 09 2023 14:10:00 GMT+0530 (India Standard Time)","45.35","54.65","45.20","49.95","34.87"
"Tue May 09 2023 14:15:00 GMT+0530 (India Standard Time)","49.70","53.25","47.70","50.10","35.10"
"Tue May 09 2023 14:20:00 GMT+0530 (India Standard Time)","50.00","52.40","45.25","46.55","32.23"
"Tue May 09 2023 14:25:00 GMT+0530 (India Standard Time)","46.25","53.70","46.00","52.80","41.31"
"Tue May 09 2023 14:30:00 GMT+0530 (India Standard Time)","52.95","57.00","52.65","55.40","44.64"
"Tue May 09 2023 14:35:00 GMT+0530 (India Standard Time)","55.35","57.00","50.85","52.90","42.16"
"Tue May 09 2023 14:40:00 GMT+0530 (India Standard Time)","52.55","54.15","47.15","47.50","37.35"
"Tue May 09 2023 14:45:00 GMT+0530 (India Standard Time)","47.10","50.80","44.15","47.75","37.71"
"Tue May 09 2023 14:50:00 GMT+0530 (India Standard Time)","48.20","50.00","45.10","48.05","38.16"
"Tue May 09 2023 14:55:00 GMT+0530 (India Standard Time)","48.10","50.80","46.85","50.20","41.44"
"Tue May 09 2023 15:00:00 GMT+0530 (India Standard Time)","49.70","53.95","49.40","51.30","43.10"
"Tue May 09 2023 15:05:00 GMT+0530 (India Standard Time)","51.60","53.50","48.70","49.15","40.67"
"Tue May 09 2023 15:10:00 GMT+0530 (India Standard Time)","50.25","51.45","47.20","48.25","39.66"
"Tue May 09 2023 15:15:00 GMT+0530 (India Standard Time)","48.85","49.00","41.70","44.45","35.64"
"Tue May 09 2023 15:20:00 GMT+0530 (India Standard Time)","44.65","47.75","44.35","46.35","38.97"
"Tue May 09 2023 15:25:00 GMT+0530 (India Standard Time)","46.50","47.90","46.00","46.80","39.77"
"Wed May 10 2023 09:15:00 GMT+0530 (India Standard Time)","56.00","68.25","55.80","67.75","63.57"
"Wed May 10 2023 09:20:00 GMT+0530 (India Standard Time)","68.45","70.25","63.75","64.75","59.91"
"Wed May 10 2023 09:25:00 GMT+0530 (India Standard Time)","64.85","65.75","57.10","58.30","52.88"
"Wed May 10 2023 09:30:00 GMT+0530 (India Standard Time)","57.55","59.30","42.00","47.15","43.40"
"Wed May 10 2023 09:35:00 GMT+0530 (India Standard Time)","46.85","47.15","41.00","42.80","40.36"
"Wed May 10 2023 09:40:00 GMT+0530 (India Standard Time)","42.20","43.40","34.45","34.90","35.50"
"Wed May 10 2023 09:45:00 GMT+0530 (India Standard Time)","34.75","38.45","34.05","38.45","39.05"
"Wed May 10 2023 09:50:00 GMT+0530 (India Standard Time)","38.25","39.45","33.75","35.60","37.27"
"Wed May 10 2023 09:55:00 GMT+0530 (India Standard Time)","35.55","36.85","31.70","31.85","35.02"
"Wed May 10 2023 10:00:00 GMT+0530 (India Standard Time)","31.80","32.60","29.40","29.85","33.84"
"Wed May 10 2023 10:05:00 GMT+0530 (India Standard Time)","29.85","32.50","29.50","32.35","36.70"
"Wed May 10 2023 10:10:00 GMT+0530 (India Standard Time)","32.50","35.20","32.00","33.55","38.09"
"Wed May 10 2023 10:15:00 GMT+0530 (India Standard Time)","33.45","37.60","33.40","36.35","41.32"
"Wed May 10 2023 10:20:00 GMT+0530 (India Standard Time)","36.35","38.30","34.80","37.20","42.30"
"Wed May 10 2023 10:25:00 GMT+0530 (India Standard Time)","37.40","39.95","36.40","39.55","45.04"
"Wed May 10 2023 10:30:00 GMT+0530 (India Standard Time)","39.70","41.75","37.85","41.70","47.50"
"Wed May 10 2023 10:35:00 GMT+0530 (India Standard Time)","41.90","46.15","41.10","43.60","49.64"
"Wed May 10 2023 10:40:00 GMT+0530 (India Standard Time)","43.70","44.00","34.30","35.60","41.89"
"Wed May 10 2023 10:45:00 GMT+0530 (India Standard Time)","35.60","38.95","32.30","36.70","43.20"
"Wed May 10 2023 10:50:00 GMT+0530 (India Standard Time)","36.40","39.40","36.25","37.90","44.67"
"Wed May 10 2023 10:55:00 GMT+0530 (India Standard Time)","37.85","38.00","33.60","35.20","42.04"
"Wed May 10 2023 11:00:00 GMT+0530 (India Standard Time)","35.10","35.85","33.15","33.65","40.56"
"Wed May 10 2023 11:05:00 GMT+0530 (India Standard Time)","33.55","38.00","33.40","35.95","43.72"
"Wed May 10 2023 11:10:00 GMT+0530 (India Standard Time)","36.20","39.85","32.15","39.85","48.71"
"Wed May 10 2023 11:15:00 GMT+0530 (India Standard Time)","40.10","42.65","39.15","39.20","47.94"
"Wed May 10 2023 11:20:00 GMT+0530 (India Standard Time)","39.45","41.00","38.00","39.90","48.87"
"Wed May 10 2023 11:25:00 GMT+0530 (India Standard Time)","40.30","42.00","39.20","41.50","51.02"
"Wed May 10 2023 11:30:00 GMT+0530 (India Standard Time)","41.55","44.85","40.40","44.10","54.38"
"Wed May 10 2023 11:35:00 GMT+0530 (India Standard Time)","44.45","51.00","44.00","47.30","58.18"
"Wed May 10 2023 11:40:00 GMT+0530 (India Standard Time)","47.35","49.75","46.35","46.75","57.29"
"Wed May 10 2023 11:45:00 GMT+0530 (India Standard Time)","46.90","54.10","46.75","51.40","62.48"
"Wed May 10 2023 11:50:00 GMT+0530 (India Standard Time)","51.85","52.40","47.60","50.35","60.69"
"Wed May 10 2023 11:55:00 GMT+0530 (India Standard Time)","50.25","50.35","42.90","44.85","52.24"
"Wed May 10 2023 12:00:00 GMT+0530 (India Standard Time)","45.00","47.70","41.10","45.90","53.57"
"Wed May 10 2023 12:05:00 GMT+0530 (India Standard Time)","45.95","47.50","42.35","44.45","51.44"
"Wed May 10 2023 12:10:00 GMT+0530 (India Standard Time)","44.35","47.50","42.10","47.05","54.90"
"Wed May 10 2023 12:15:00 GMT+0530 (India Standard Time)","47.20","49.70","46.10","47.05","54.90"
"Wed May 10 2023 12:20:00 GMT+0530 (India Standard Time)","47.45","50.15","44.00","48.55","56.95"
"Wed May 10 2023 12:25:00 GMT+0530 (India Standard Time)","48.85","49.65","44.75","46.30","53.05"
"Wed May 10 2023 12:30:00 GMT+0530 (India Standard Time)","46.65","50.60","45.75","47.70","55.11"
"Wed May 10 2023 12:35:00 GMT+0530 (India Standard Time)","47.65","48.05","44.85","47.45","54.65"
"Wed May 10 2023 12:40:00 GMT+0530 (India Standard Time)","47.80","50.35","47.45","49.65","57.98"
"Wed May 10 2023 12:45:00 GMT+0530 (India Standard Time)","49.95","50.95","48.00","50.00","58.51"
"Wed May 10 2023 12:50:00 GMT+0530 (India Standard Time)","50.15","52.45","48.00","52.35","61.93"
"Wed May 10 2023 12:55:00 GMT+0530 (India Standard Time)","52.80","53.00","49.45","49.45","55.81"
"Wed May 10 2023 13:00:00 GMT+0530 (India Standard Time)","49.50","50.50","45.95","50.20","56.99"
"Wed May 10 2023 13:05:00 GMT+0530 (India Standard Time)","50.65","51.55","45.60","47.35","51.36"
"Wed May 10 2023 13:10:00 GMT+0530 (India Standard Time)","47.85","49.60","44.75","49.55","55.05"
"Wed May 10 2023 13:15:00 GMT+0530 (India Standard Time)","49.40","51.60","46.65","47.30","50.81"
"Wed May 10 2023 13:20:00 GMT+0530 (India Standard Time)","47.05","48.15","36.90","37.00","36.81"
"Wed May 10 2023 13:25:00 GMT+0530 (India Standard Time)","36.70","37.45","30.95","33.70","33.62"
"Wed May 10 2023 13:30:00 GMT+0530 (India Standard Time)","33.15","35.40","32.45","33.95","34.08"
"Wed May 10 2023 13:35:00 GMT+0530 (India Standard Time)","33.80","34.20","29.55","32.55","32.70"
